user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kbh9****,omKj,긍정평가 11%가... 정말일까가... 진짜 제정신아닌 사람들이 있다는데 경악스럽다...,True,1,2024-12-13T15:22:05+0900,845449414049792044,294,95,23
wayt****,,,False,1,2024-12-13T15:26:39+0900,845449708708036893,0,0,40
ire_****,,,False,1,2024-12-13T15:26:27+0900,845449696091570383,0,0,1
korn****,MIHs,대한민국 국민중 11% 는 제정신이 아니라는거구만.,True,1,2024-12-13T15:21:27+0900,845449373918691531,118,44,13
ohoh****,18f4k,도대체  저 조사는 언제 한거지?  한번도 여론조사해본적 없는데..거짓말쟁이들..난 탄핵 반대!!!제발.,True,1,2024-12-13T15:34:27+0900,845450211823190204,88,31,5
t-ki****,byBOL,대통령의 지지율이 낮다고해서 비난하거나 국회에서 탄핵 당할 이유는없다. 국정 협조는 1%도 없는 대한민국 제1야당 민주당을 끌어안고 물가 안정이라던가 견고한 수출을 해나가고 튼튼한 안보를 해나가는 윤석열 정부가 대단한것 아닌가싶네요 👏👏👏🙋🙋‍♂️ 🇰🇷 🌈,True,1,2024-12-13T15:38:54+0900,845450498344485297,74,24,4
ggkd****,1PVyG,저는 탄핵 반대입니다 국민이 뽑은 대통령을 왜 중공세력인 더불어민주당이 끌어 내립니까? 선관위는 왜 민주당과 작당모의를 합니까? 부정선거나 밝히세요@,True,1,2024-12-13T15:44:54+0900,845450884304339429,69,25,4
qkrr****,dHXxt,내가 보기엔 89%가 제정신이 아닌디.,True,1,2024-12-13T15:26:17+0900,845449685068939400,64,24,9
iron****,2er2E,지지율 따위 필요 없으니 사형하라니깐,True,1,2024-12-13T15:25:31+0900,845449635290939658,38,15,2
0921****,2DFlX,탄핵은 반델세,True,1,2024-12-13T15:35:32+0900,845450281163423985,29,6,1
dara****,3hOws,저거 전라도에서 조사한거네 ㅋㅋ,True,1,2024-12-13T15:36:02+0900,845450313627336727,27,6,4
joye****,1iMIX,11%는 또 뭐냐?  대한민국 망해도 좋다는거네,True,1,2024-12-13T15:23:06+0900,845449479799701569,25,4,0
kses****,170Hx,날이면 날마다 탄핵하는 나라가 정상입니까? 그것도 범죄자가 멀쩡한 사람을 탄핵하는데 그걸 보고도 가만히 있는 사람이 이상한 것 아닙니까?,True,1,2024-12-13T16:24:27+0900,845453432276910268,22,4,3
medi****,,,False,1,2024-12-13T15:38:49+0900,845450492103360878,0,0,0
afas****,1nDMA,"선관위 여론조사도 못믿는데 저걸 믿으라고?
어제 대통령 담화 후 분위기 완전 다른데 담화 내용 보고도 찢재명 지지하면 갱생불가 아니면 간첩동조세력이지",True,1,2024-12-13T16:05:25+0900,845452206399291587,19,3,0
info****,e6lPl,난  이 조사  안믿는다   지지율 조사  한번도  믿어 본 적  없다,True,1,2024-12-13T15:28:01+0900,845449797073633292,15,1,0
junh****,2pBok,조선인들! 왜들 이렇게 감정적이고 즉흥적인가. 왜 야당대표의 혐의에는 너그러울까.,True,1,2024-12-13T15:24:26+0900,845449565917151416,23,10,5
njb7****,1E9W1,"美폭스뉴스,""윤 대통령 무너지면 중국,북한에 대한민국 넘어간다""http://www.fntoday.co.kr/news/articleView.html?idxno=340715",True,1,2024-12-13T15:34:30+0900,845450214507544782,21,12,2
darv****,1hRI4,"11% 를 인정하는 것이 민주주의. 11%에 동조해서 89%를 비상계엄이라는 어처구니없는 상태로 몰아넣어, 11%가 원하는 대로 이끌어 가겠다고 하는것은... 아니라고 본다. 89%가 맘에 들지 않는다면, 89%가 왜 이토록 진저리를 치는지 생각해보고, 함께 갈 길을 모색하는 것이 진정한 지도자의 길이라 생각한다. 89%를 폭력으로, 총칼로 무력화 시켜 입을 막겠다는 발상은, 2024년 대한민국 민주주의에 대한, 상당한 시대착오적 발상이라 생각한다.",True,1,2024-12-13T15:59:04+0900,845451796783562782,14,7,3
cops****,,,False,1,2024-12-13T15:28:24+0900,845449822054908067,0,0,0
jsss****,,,False,1,2024-12-13T17:18:09+0900,845456891789180997,0,0,0
juhu****,,,False,1,2024-12-13T15:56:18+0900,845451618810855555,0,0,0
scen****,4liWi,윤석렬대통령 지지합니다 힘내세요 가짜뉴스가 판치는 지지율 신경쓰지 마세요,True,1,2024-12-13T15:40:13+0900,845450582666772623,11,7,3
oper****,,,False,1,2024-12-13T15:54:41+0900,845451514473349442,0,0,3
zxck****,2vJ0o,또 선동한다ㅡ,True,1,2024-12-13T15:35:24+0900,845450272791593151,4,0,0
pari****,,,False,1,2024-12-13T18:08:39+0900,845460145596006611,0,0,3
wayt****,,,False,1,2024-12-13T15:58:06+0900,845451734556868663,0,0,0
frie****,15BZr,탄핵을 왜 하나요. 국가수호 하는 이런 멋진 대통령을 ❤️🇰🇷💪🏻,True,1,2024-12-13T15:52:49+0900,845451394767913341,4,1,1
goo7****,2Kho3,민주노총 언론노조  기자들이 박근혜탄핵때 어떠하였는가  지금도 똑같이 선전 선동하고 있다.SBS는 박근혜 탄핵때처럼 과오는 안된다.. 민주노총 기자들을 배제하라.,True,1,2024-12-13T17:58:50+0900,845459513262735682,3,0,0
me52****,10WbJ,윤대통령 담화이후 민심이 바뀌고 있다. 선관위 부정선거 밝혀라. 내란 민주당과 연결된 중국간첩 북한간첩 다 밝혀라,True,1,2024-12-13T17:30:43+0900,845457701491179800,3,0,0
ambi****,2OOn4,응 안믿쥬? 이젠 지식인이 애국보수다♡,True,1,2024-12-13T15:39:54+0900,845450562802549256,3,0,0
neek****,m2XA,?? 원래 윤석렬 부정평가가 75% 아니였냐? 별다른게 없는데? 박근혜때는 탄핵 찬성이 90%였는데 말이지. 긍정평가 11% 나무라기전에 범죄자 이재명당이 40%가 넘는게 이 나라가 웃긴나라라는거 아니냐? 뭘 11% 가지고 제정신이네 뭐네.,True,1,2024-12-13T15:38:43+0900,845450486298444096,3,0,0
prid****,5p6NY,"선관위에게: 사전투표와 당일투표 사이의  양당의 득표율 차이가 +- 합하면  평균 23.3%인데 우리나라 역대 선거에 21,22대 빼고 그런 적이 있나요? 아님 세계적으로도 그런 적이 있나요? 통계학상으론 모집단의 수로 보아 1%내외의 차이가 나와야 하는데 전문가를 통해 설명해 주세요. 아참 그리고 선관위 통계자료 전에는 선관위 싸이트에 있었는데 지금은 못 들어가네요. 그래서 네이버에 자료가 많아서 거기서 본거임",True,1,2024-12-13T15:35:26+0900,845450274955854001,7,5,1
skyl****,1dPoe,"11%는 광화문에 있는 극우할매, 할배들과 TK에 있을듯.",True,1,2024-12-13T18:10:26+0900,845460259949510809,5,3,0
rlaw****,nMCi,찢재명 :어짜피 대중들은 개돼지 입니다뭐하러 개돼지들한테 신경을 쓰고 그러십니까 적당히 짖어대다가 알아서 조용해 질겁니다,True,1,2024-12-13T17:46:31+0900,845458720153403617,3,1,0
pian****,3Bioq,❌긴급속보 긴급상황이 ❌   선관위가 지금 서버교체 증거인멸 증거조작 중,True,1,2024-12-13T16:15:53+0900,845452880272949667,3,1,0
tkdg****,17nlf,"담화문 읽고 그 절절한 애국심에 눈물날뻔했다. 내란죄는 이재멍과 민주당, 그리고 경찰특수단이다",True,1,2024-12-13T16:10:27+0900,845452530216337675,3,1,0
gogo****,1br8I,전라도 사람들 상대로 조사했나요?난 찬성한적 없는데ㅋㅋ지지율 조사도 조작하나요?ㅋㅋ갤럽 믿을만한 곳인가요?,True,1,2024-12-13T16:03:38+0900,845452091072708896,3,1,1
bj24****,,,False,1,2024-12-13T15:36:09+0900,845450320589881436,0,0,0
pak5****,5MKT2,대한민국에서  윤석열 대통령이 탄핵찬성  75% 어디서 나온 분석자료지요...미친 선전선동  이네....윤석열대통령  힘내세요...지지하고 응원합니다..반드시 국민이 윤석열 대통령 지키겠습니다..,True,1,2024-12-13T19:58:44+0900,845467237660754123,2,0,0
wkdw****,,,False,1,2024-12-13T18:17:31+0900,845460716675662015,0,0,0
joke****,3ycgN,원자로개바르250ㅡ0 원전수출보증1112억800ㅡ0 원전첨단기술부품장비개발60ㅡ0대학생연수사업60ㅡ0 대통령특화리82억ㅡ0 검.찰특경비587억ㅡ0 검사특경비60억ㅡ0 경찰 치안특31억ㅡ0동해심해가스발전505억 ㅡ8 유래없는탄핵만22번 국회의원년봉 1억6천으로올리고  윤대통령특활비 82억ㅡ0 재인이는 96억 국정마비  내란죄다,True,1,2024-12-13T18:11:49+0900,845460349237854498,2,0,0
goo7****,2Kho3,SBS는 선잔 선동 하지마라. SBS 경영자는 직원중 민주노총 소속 기자들를 배제하라...,True,1,2024-12-13T17:54:45+0900,845459250128879921,2,0,0
leee****,2uQuL,탄핵반대합니다,True,1,2024-12-13T17:52:55+0900,845459131799175510,2,0,0
llll****,DprF,윤석열 계엄령 사망자0명…이재명 주변인 사망자7명,True,1,2024-12-13T17:52:43+0900,845459119400812837,2,0,1
rlqh****,dIpyb,"탄핵에 재미들린 나라  ?
탄핵과  구속은 함께 해야지 ~  그냥 둘다 구속하자  
야당.여당 둘다  .
근대 왜  내란이야  ~  대통령이 계엄을 선택할수밖에 없는 이유를 말 했잖아  ~  
진짜 탄핵 찬성이  75%야  진짜야  ~  전국민 투표로 해보자  진짜 75%나오는지  ~
좌파들은 또 욕부터 하겠지~  니돈내라. 바보냐 등등  ~~",True,1,2024-12-13T17:30:31+0900,845457688673386708,2,0,0
bigb****,,,False,1,2024-12-13T17:29:46+0900,845457640774435113,0,0,0
yjss****,HQYZ,"톡바로 기사 안쓸래? *선관위 부정선거* 관련기사 **스카이데일리* 신문에서는 잘 쓰던데, 여기는 뭔 쓰레기 기사만 쓰고 있네",True,1,2024-12-13T17:06:43+0900,845456155521057064,2,0,1
lcb0****,5lWgJ,"탄핵 반대
이재명 구속",True,1,2024-12-13T16:55:13+0900,845455414723084368,2,0,0
gsk4****,2bDPMf,나한테 전화 안왔는데? 좌파들만 골라서 하나? 글고 부정선거가 금기어냐? 이쯤되면 부정선거조사하자고 언론들 나와야 하는거 아닌가? 부정선거얘기만 하면 미치광이로  몰아부치는 이상한 나라네. 선관위는 티끌민큼도 잘못한게  없다면 떳떳하게 조사받자,True,1,2024-12-13T16:22:48+0900,845453326412677482,2,0,0
smil****,2E0p9,"탄핵 반대가 많은데
부정선고에 이어 여론조사도 부정이네",True,1,2024-12-13T16:03:46+0900,845452099729752383,2,0,1
coms****,5CdYc,탄핵 반대.,True,1,2024-12-13T15:48:03+0900,845451087845523482,2,0,0
rain****,,,False,1,2024-12-13T15:25:48+0900,845449653947203990,0,0,0
por6****,KUuD,"탄핵?
절대안된다",True,1,2024-12-13T15:22:18+0900,845449428830519452,5,4,0
qhqk****,43159,탄핵 찬성하는것들이 비정상이나 선동질에 가스라이팅 딱 잘당하는 스타일... 한마디로 잘 휘둘리는 스타일,True,1,2024-12-13T15:41:47+0900,845450683313291658,4,3,1
nhw0****,2bxZE8,탄핵반대하는 사람들이 더 많더라,True,1,2024-12-13T16:20:27+0900,845453174813753543,3,2,1
prin****,2v2mT,"25프로 반국가세력을 때려잡아야
  나라가산다",True,1,2024-12-13T18:12:24+0900,845460387640901801,2,1,0
1230****,3opT4,뻔한 결과가 나올걸 알면서 여론 몰이를 하는 갤럽 이것들도 좌파로구만 박통 탄핵때도 동원 되더니 또 역할을 하네! 한심하다! 이것들은 항상 살아남기위해 몸부림을 치는구만!,True,1,2024-12-13T16:29:35+0900,845453763610149120,2,1,1
jhus****,,,False,1,2024-12-13T16:24:50+0900,845453456939417972,0,0,1
hotr****,10Fqk,윤석렬 대통령님 적극 지지합니다. 부정선거 덮으려는 세력 몰아내고 대한민국의 민주주의를 살려주세요.,True,1,2024-12-13T16:17:47+0900,845453002746626439,2,1,0
khk3****,1BqC6,"가짜 여론 조사를 누가 믿기나 한다고 툭하면, 여론과 언론을 누가 믿니?  미국도 봐라 방송에선 다 해리스 했다가 깜짝 트럼프 !!! 놀랐지
반전이 있슴이야!! 여론조사도 거꾸로 나왔자나",True,1,2024-12-13T15:32:06+0900,845450059972608034,2,1,0
shle****,2bWGDT,국민의 위험이 아닌 본인 부부의 위험과 사익을 위해 군을 동원했다...국민의 동의나 지지는 10%이다...더 이상 용산에 쭈구려 있을  명분이 없다..혼란만 가중될 뿐이다...이처럼 나라를 망치고 미련이 남아 있는가?,True,1,2024-12-14T08:33:25+0900,845515857915281499,1,0,0
soul****,5eYUL,여론 이상하네 조작하는거같다 민주당 부정선거도 곧 드러나야한다,True,1,2024-12-13T19:10:19+0900,845464118189097061,1,0,0
