user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jski****,4IQpg,욕도아깝다 🐕 광훈 이자를 내란선동죄로 재발 집어넣어라,True,1,2025-02-22T21:30:12+0900,852059892620460098,707,165,14
jj28****,,,False,1,2025-02-22T22:16:56+0900,852062902822109453,0,0,5
mkho****,3biMI,미친사람.,True,1,2025-02-22T21:27:03+0900,852059689498705925,157,54,5
op******,2yCWq,저 분 이름에 광이 미칠 광 맞죠?,True,1,2025-02-22T21:45:52+0900,852060901568676100,107,28,5
1jun****,vj7f,소규모 찬성집회와 대규모 반대집회가 아닌지ㅎ,True,1,2025-02-22T21:37:49+0900,852060382984929492,124,63,10
yong****,yKKV,알뜰폰 좀 팔았냐?ㅎㅎ 예전 약장수 같은 사기꾼 저거..ㅉㅉ 빤스 벗고 성매매하던 매춘 김건희나.. 저 사이비 목사나...,True,1,2025-02-22T22:03:22+0900,852062028880150638,37,8,1
sspp****,,,False,1,2025-02-22T21:51:34+0900,852061268570275985,0,0,2
aiji****,eEXWz,도대체 이런 사이비는 왜 안잡아가는겁니까? 수사를 하기는 하는건가요?,True,1,2025-02-23T00:17:10+0900,852070648711741477,29,7,0
kdh0****,14Jvr,"광화문 집회를 사업을 위한 수단으로 전환시킨 사이비 목사! 애국이라는 이름표를 붙이고 농협카드, 핸드폰 영업뿐 아니라 주일성금까지 알뜰하게 챙겨 자기 뱃속을 채우는 사탄이다. 시위와 집회는 영업을 위해 반드시 필요하다. 윤석열 탄핵 찬반 여부는 전광훈에게 아무 필요없다.",True,1,2025-02-22T23:46:03+0900,852068643985424401,26,5,0
lyy3****,el1fD,천만의말씀 만만의콩떡이다.살아 돌아와 아나 떡이다.광훈아 꿈깨라.착각도 유분수지 어디서 그런 끔칙한 말을.살아 돌아오긴 개뿔 죽어 돌아오겠다.살아서 돌아오면 지나가던 소가 웃을 일이다 개 풀뜯어 먹는소리 작작하고.정신 차려라 광훈아.창피하다.쪽팔린다.다른 목사님들 욕먹이는짓 고만해라.,True,1,2025-02-22T21:53:08+0900,852061369971769395,24,7,1
kb13****,3KQPW,5공시절이면 저런 사이비는 진즉에 사회에서 사라졌을텐데.......,True,1,2025-02-22T21:36:41+0900,852060309551055025,21,4,0
ypki****,sXlA,넌 D져서 하느님 앞으로 수갑채워 끌려 갈 것이다..,True,1,2025-02-22T21:39:08+0900,852060467693092907,17,3,0
lee5****,3kxgp,"기자 양반~
 찬성 집회는 대규모가 아니고 소규모입니다.
똑바로 보도해라.
반대집회 드론으로 촬영해라.",True,1,2025-02-23T07:59:39+0900,852100444661481560,17,4,0
reas****,1tbpm,저인간  집회 나가는인간들  제정신이냐??   집회가서 모금하고  저놈 딸하고 아들은  저들한테  장사나 하고있는데.     제발  정신좀 차려라,True,1,2025-02-23T06:51:33+0900,852096057134284854,16,3,1
lee2****,5IGHe,이 무식한 인간은 왜 안잡아가냐? 말하는것 보면 싼티가 너무나더라,True,1,2025-02-23T00:20:43+0900,852070878073061505,14,3,0
juni****,1gMDz,국가적 암덩어리. 전국 목사님들 정치 이야기 그만하고 섬경 속 이야기를 신도들에게 잘 전하세요.,True,1,2025-02-22T21:29:36+0900,852059853210779820,16,6,0
prim****,Jzk4,"전광훈, 이미 죽은 인간이다. 영혼이",True,1,2025-02-23T05:41:26+0900,852091539784990737,10,2,0
rinn****,LBcA,너도 윤통과 운명을 같이해라!,True,1,2025-02-22T21:31:49+0900,852059996102328541,9,2,0
7747****,aDmkX,장위동에  거주하는  개신교인입니다.   요즘  장위동에  있는  사이비종교단처나  이단이  발광을  하고  있으니  분별을  잘  하셔야  합니다.,True,1,2025-02-23T07:48:26+0900,852099721966125118,7,2,0
mks6****,539uV,우리나라법이 정말로 어이가 벙벙하다 이양반 경 검 법 아무소용이없네 약자들만 힘든세상  ㅎㅎㅎ 정말로 기가막히다 이래서 이만희도 전광훈이도  법이무색하게만든다 이것이 현실,True,1,2025-02-23T06:50:23+0900,852095982224015385,6,1,0
eunj****,O6OJ,"한경은 기사똑바로 써라.
무슨 탄핵 찬반 집회인가?
탄핵찬성은 몇명 되지도 않고 왜?
대전집회는 언급을 안하는가?",True,1,2025-02-22T21:42:26+0900,852060680025538670,9,5,1
scar****,2rKkb,박근혜 탄핵때 한몫 잡고 윤석열 탄핵때 또 해쳐먹고 있네  하나님이 너는 꼭 지옥 불길에 쳐 멓을 것이다.  광훈평생지옥기 1장2절 말씀,True,1,2025-02-23T01:53:50+0900,852076876229771342,7,3,0
dhdh****,iub2,"대한민국법은모하는건지.이런인간안잡아가나,,내란선동해도안잡아가는이유가도대체머지,.안잡는거야.못잡는거야,!!!",True,1,2025-02-23T00:24:31+0900,852071122500321406,7,3,0
rlat****,23LPU,제발 저거 치워주세요 아멘,True,1,2025-02-23T07:14:49+0900,852097555473891412,4,0,0
ocs1****,2Q84d,깔끔하게 새로 뽑고 새출발하자. 너무 시끄럽다,True,1,2025-02-22T21:25:51+0900,852059611434320117,12,9,1
jhgj****,1khjI,"목사인지 정치가인지 사이비 이단  전광훈..교역자 답게 양의꼴을  먹일시간도  없는데  데오꾼 선동질이나 하고~~하나님 참고있다  진짜 벌받는다~~
전도에 방해가 되고  교회것들이라  욕먹고있다^^
말세에는 거짓선지자들이  출물한다는데  맞네~~
추종하는 세력들은 뭐하나",True,1,2025-02-22T23:34:10+0900,852067878793379895,5,2,0
psyc****,1j5Kd,부부싸움하다 핏덩이 아들은 왜 죽은겁니까? 그 가냘픈 아이를 왜 암매장 한겁니까? 전광훈 당신은 악마입니까?,True,1,2025-02-23T08:17:29+0900,852101592642486330,4,1,0
yh09****,HZrl,온갖 폭동 선동질에 강매까지 하는 정치 목사는 우리나라 법이 적용 안되는건가?  아직 저러고 있네,True,1,2025-02-23T08:12:11+0900,852101251175809051,3,0,0
leen****,2cmfo3,"하나님도 까불면 지 한테 죽는다는 헛소리 하는자를 따르는 자들
어느종교이든 정치에 동조 하면 안된디는것도 모르는
자를 목
자라 따르는 사람들 속히 빠져나와 참 목자의 길을 따르라",True,1,2025-02-23T07:57:30+0900,852100305695801409,3,0,0
koja****,2V40m,저런사람에게  헌금하고  경청하는 사람들은. 제정신인가.  궁금하네  일고의가치도없는 사탄이다 ㅋㅋㅋㅋ,True,1,2025-02-23T07:34:35+0900,852098829451788346,3,0,1
swee****,2FJCU,그넘의 집회들. 지긋지긋하다. 감옥 보낼것들은 빨리 보내라. 그리고 윤씨 유죄되면 지지하던것들도 다 감옥 집어넣어라.,True,1,2025-02-23T02:25:33+0900,852078919677902909,3,0,0
slee****,39yUK,"누군가가 정권을 잡으면, 지가 죽는다는 걸 알고 발악중!!! ㅎㅎㅎㅎ",True,1,2025-02-22T23:56:49+0900,852069338243399870,3,0,0
jiho****,5rswF,목사가 왜 정치를 하나 참 한십하다,True,1,2025-02-22T21:26:04+0900,852059625644621846,14,12,0
hanp****,cqvQQ,"탄핵찬성파는 종교 광신도, 뭣모르는 젊은층, 사이코 정신병자, 멸공꼰대족으로 찬성파 8:0으로 느긋하고 반대파는 1~2표를 위해 죽기살기로 달려들려들기에 종교인들이 교회다니듯이 대다수 동원인원이 중복됩니다. 댓글광장 여론도 야외집회도 탄핵반대가 많은 이유는 영BBC기사~옛공산주의 공포와 선거음모론으로 부추겨 반공의 광기와 부정선거 망상에 사로잡힌 초등학생같은 광신도다. 여기 댓글광장도 여론조사해보면 윤석렬 탄핵기각은 확정적이고 김문수가 1위 이재명이 3위입니다. 보수의 눈에는 귀신이 씌운것같습니다",True,1,2025-02-22T21:37:23+0900,852060355201859679,9,7,0
gwju****,1PFPV,누가 저 도도히 밀려오는 탄핵의 강물을 막을 수 있을까? 시대는 변하는데 아직도 왕조시대의 권위주의가 정상인양 떠들어 댄다. 고개를 들어라. 대한민국은 민주공화국이다. 모든 권력은 국민으로 부터 나오는 것이다. 하물며 손바닥에 써놓은 王자가 웬말이냐? 권력은 결코 총부리에서 나오지 않는다. 민주의식이 확고한 국민 앞에 웬 불법 비상계엄이란 말인가? 국민수준과 의식을 따라가지 못하는 정치인들이여 진실로 반성할지어다. 역사 앞에 죄를 짓지 말거라...역사는 기록하고 있다. 그대들의 무능한 정치수준을......,True,1,2025-02-22T21:51:46+0900,852061281304183005,5,3,0
leek****,1tSWC,놀고 자빠졌다 술퍼마시고 깽판치다가 보초서던 졸개들에게 목이 잘린 장비가 살아돌아온다면 모를까 내란수괴의 우두머리 윤쩍벌이가 살아서 돌아올리는 만무하다 그 개꿈 좋아 빠르게 깨라 레드 썬~,True,1,2025-02-22T22:05:01+0900,852062134878601227,4,2,0
sona****,aoRsm,먹사놈들은 모두 사기꾼이다 예수라는 원조사기꾼을 팔아 헌금이란 명목으로 남 등처먹고 사는 것들,True,1,2025-02-23T08:52:26+0900,852103844815962182,3,1,0
kwon****,3Gumi,"기독교, 특히 개신교가 낳고 만든 괴물",True,1,2025-02-23T08:49:49+0900,852103675785511030,3,1,0
tony****,,,False,1,2025-02-23T08:38:50+0900,852102968474861702,0,0,7
dn09****,1MZQA,전광훈과 국민의힘은 한 몸이다.,True,1,2025-02-23T08:18:33+0900,852101661529735257,3,1,0
ghdc****,eqq5t,"권성동ㆍ권영세ㆍ전광훈ㆍ전한길ㆍ김문수ㅡ김민전ㆍ윤상현ㆍ윤석열ㆍ나경원ㆍ김용현

시민의10적",True,1,2025-02-23T07:58:32+0900,852100372687224902,3,1,0
goan****,1OUIf,그래  구속되었다가  형기  마치고   돌이오지  맞는말,True,1,2025-02-22T23:58:37+0900,852069454257848445,3,1,0
skyc****,2rENU,윤석열이 땅의 하니님이라며? 사이비 목사야!!,True,1,2025-02-22T23:54:24+0900,852069182215290969,3,1,0
yong****,37ly8,얘 자금흐름 좀 잘 살펴봐라,True,1,2025-02-22T23:10:28+0900,852066352284827782,3,1,0
hyh5****,c7B6C,미치광이에게 가스라이팅 당해서 참 한심합니다  북한사람들 김씨일가  없으면 큰일 니는줄 아는것과 똑같다,True,1,2025-02-23T08:54:54+0900,852104003226435756,2,0,0
joon****,,,False,1,2025-02-23T08:54:37+0900,852103985341923426,0,0,0
lepr****,47lD8,알뜰폰 업체 사장이 광화문에서 개돼지들 삥뜯는 소리하고 있네-.-,True,1,2025-02-23T08:54:09+0900,852103955428147234,2,0,0
anst****,4tx4m,너때문에.  교회목사들이 갑자기.  싫어졌다.,True,1,2025-02-23T08:53:22+0900,852103904442187847,2,0,0
choi****,,,False,1,2025-02-23T08:46:30+0900,852103461926338649,0,0,0
ym23****,4Fl90,윤살아돌아오기전에니가 뒤질것같은데,True,1,2025-02-23T08:43:03+0900,852103240148320264,2,0,0
inja****,,,False,1,2025-02-23T08:41:45+0900,852103155909918844,0,0,0
yoon****,1X60y,사형인데....부활하시려나?,True,1,2025-02-23T08:34:01+0900,852102657777598470,2,0,0
miso****,dWmCU,없어져야 할 좀비 사이비들~극우 좀비들 몰고 돈 벌이에 앵버리까지~~~~전광훈이 섬기니 좋지? ᆢㅉ,True,1,2025-02-23T08:33:53+0900,852102649237995685,2,0,0
kkww****,,,False,1,2025-02-23T08:31:16+0900,852102481415503917,0,0,0
reem****,,,False,1,2025-02-23T08:28:05+0900,852102276246929434,0,0,0
ewht****,4uUEg,한국에 기생하는 대표적인 사탄 마귀,True,1,2025-02-23T08:27:14+0900,852102220865339432,2,0,0
ljj4****,2UGj0,전광훈이놈좀잡아가두셔요 사이비종교 목사,True,1,2025-02-23T08:21:23+0900,852101844720156734,2,0,0
awil****,1gAnM,저 사이비 교주,True,1,2025-02-23T08:20:06+0900,852101761874264084,2,0,0
bwki****,bJQP,이런게 십자가앞에서 설교한다는게 창피하다. 목사님들은 이런 망나니 사이비 먹사를 내버려 두실겁니까?,True,1,2025-02-23T08:13:31+0900,852101338031456330,2,0,0
epql****,3jIKr,야랑 한길이랑 셋트로 석열이 만나게 해주자 깜방에서 사이좋게 지내게,True,1,2025-02-23T08:12:53+0900,852101296558178417,2,0,0
3367****,e2ABQ,"아이고~~
내란옹호당대표 나오셨네",True,1,2025-02-23T08:12:44+0900,852101287464927333,2,0,0
kooj****,2OMH8,내란선동죄로 엄히 다스려라,True,1,2025-02-23T08:01:31+0900,852100564769570886,2,0,0
ksjg****,ri0P,국짐 대선후보로 전광훈 내보내자,True,1,2025-02-23T08:00:01+0900,852100468199915521,2,0,0
sinc****,1mqu7,전두환전광훈전한길전여옥,True,1,2025-02-23T07:51:29+0900,852099918007894090,2,0,0
davi****,nUei,이 인간 🐕 소리에 아멘 아멘 해대는 정치병자들이 더 문제다..기독교 정말 너~~~~무 싫다.,True,1,2025-02-23T07:47:32+0900,852099663866626116,2,0,0
lmh7****,,,False,1,2025-02-23T07:36:54+0900,852098978232139886,0,0,0
kgc0****,8vRJt,한때 하나님도 혼내준다는 미치광이 목사나 이를 추종하는 것들이나 다 좀비들이다,True,1,2025-02-23T07:29:27+0900,852098498907078705,2,0,0
frol****,nXVY,이런사람들 때문에 선량한 교회인들이 욕을먹는거다,True,1,2025-02-23T06:53:53+0900,852096206971600975,2,0,0
ywdo****,4vrss,당연히 살아서 돌아 오겄지! 파면 된체로! 그이후에는 검할에서 내란죄로 형사처벌! 사형!,True,1,2025-02-23T06:52:15+0900,852096101560352787,2,0,0
hist****,,,False,1,2025-02-23T05:54:28+0900,852092379165884451,0,0,0
psi1****,mqw6,카드사 대표,True,1,2025-02-23T05:23:07+0900,852090359658840073,2,0,0
jpyo****,1uFbu,"내란일으킨게  민주당이냐,  이재명이냐
불법계엄 이 뭔 지를 잘 모르는 사람이 있네ㆍ  그냥 불법으로  수천명,  수만명 죽어도  모르는  후진국이 되는거다 ㆍ그런사회에서 살고싶냐  

윤석열 한테 돈받았냐, 전광훈 한테   돈받은거냐",True,1,2025-02-23T00:27:24+0900,852071307754340448,2,0,0
zzb8****,,,False,1,2025-02-23T00:07:12+0900,852070007067115568,0,0,0
johd****,eM3mk,💀 전광훈  . . 거짓선지자  ?   적그리스도  ? ✝️  . .,True,1,2025-02-22T23:36:47+0900,852068047538618584,2,0,0
berr****,,,False,1,2025-02-22T21:31:16+0900,852059960366858314,0,0,1
yjin****,1tNkn,"오동운 떨고 있냐?  공수처 검새들 밥은 먹고 있냐?
감히 대통령관저에 불법침입한 형사 수백마리 두렵지?  그러게 그때 수많은 사람들이 니네 내란죄라고 말해줬잖아..   절대 용서할 수 없다.  전원 사형, 무기징역이다.   역모는 삼족을 멸하는 법이다",True,1,2025-02-22T21:30:23+0900,852059903827640429,19,18,2
askd****,CJnd,전광훈 목사님 화이팅! 최고의 애국자!,True,1,2025-02-22T21:33:54+0900,852060130571714785,4,3,0
jmf-****,cyBB9,얄마야!사기칠래?,True,1,2025-02-22T21:27:22+0900,852059709950132332,3,2,0
h3ba****,25Ae0,양아치  종교인 / 목사면 목회자  답게  행동 해야   사이비 종교인,True,1,2025-02-23T10:51:58+0900,852111545524551908,2,1,0
dong****,,,False,1,2025-02-23T09:15:33+0900,852105333458337890,0,0,0
cy_0****,bfu8k,"어이. 돌목사 광훈아, 석열이를 느그당 자유통일당으로 영입해서 계속 술통령으로 모셔라.",True,1,2025-02-23T09:00:34+0900,852104368231546975,2,1,0
ygh5****,GAW0,제발 좀 🙏 사라져라,True,1,2025-02-23T08:57:50+0900,852104192473432193,2,1,0
kays****,3jzWu,돈에 미친 사이비 넘.,True,1,2025-02-23T08:56:59+0900,852104137796485282,2,1,0
ana1****,37pn7,"전광훈 ""尹 살아 돌아올 것""  윤수괴 죽었나? 누가 죽였지? 벌써 사형됐나?",True,1,2025-02-23T08:56:51+0900,852104129391100042,2,1,0
8748****,d2zmY,전광훈아 !  예수흉내좀 그만해라 어찌 생긴대로 노느냐  목사 치고는 잡색목사 꼴불견이다,True,1,2025-02-23T08:50:32+0900,852103722694606932,2,1,0
ssb6****,2LeIF,윤구라 옆방에 니 방 예약해놨데,True,1,2025-02-23T08:01:10+0900,852100541801562134,2,1,0
trde****,32eNa,"왜,
이사람을
간방에 못잡아 가는걸까요?
종교 뒤에 숨어서 나라를 분열시키는 @
빨리 잡아가세요",True,1,2025-02-23T07:59:36+0900,852100441272483912,2,1,0
varp****,1y5go,저놈한테 속는놈은 정상적인 뇌가 있다고 볼수 없다,True,1,2025-02-23T00:26:38+0900,852071258429325444,2,1,0
sadh****,,,False,1,2025-02-22T23:18:15+0900,852066853118279748,0,0,0
y2k2****,,,False,1,2025-02-22T21:43:34+0900,852060753643962525,0,0,0
snow****,1S3FU,전광훈 목사님 응원합니다 나라 지키는 보수의 중심에 있는 분을 욕하는건 간첩이라 생각한다,True,1,2025-02-23T12:20:31+0900,852117250230976638,1,0,0
qorg****,,,False,1,2025-02-23T09:46:17+0900,852107314327453768,0,0,0
galg****,1FgOX,윤대통령의 복귀를 축하합니다.,True,1,2025-02-23T09:40:10+0900,852106919643447327,1,0,0
jym5****,,,False,1,2025-02-23T08:55:53+0900,852104066510094464,0,0,0
juxh****,AGk5,"진짜 영업 한번 잘하네...
신규 카드 회원 모집에 정말 적극적임.
예전엔 그래도 뭔가로 보였는데
이젠 카드영업사원으로 보임.
참 세속적임. g     ㄹ ㅏ ㄹ",True,1,2025-02-23T08:54:28+0900,852103975208484938,1,0,0
wawa****,2cSqnT,사기꾼전광훈저런사람을믿고동의하는인간들머리속좀까보고싶다무슨생각을하느지,True,1,2025-02-23T08:54:22+0900,852103969101578285,1,0,0
yu68****,,,False,1,2025-02-23T08:46:55+0900,852103489457750159,0,0,0
juc6****,,,False,1,2025-02-23T08:46:01+0900,852103431375028230,0,0,0
lws0****,,,False,1,2025-02-23T08:36:26+0900,852102814023811125,0,0,0
3830****,5Obt3,"할배 이제그만하이소
하와이나가라",True,1,2025-02-23T08:36:25+0900,852102812832628804,1,0,0
mach****,g7c2,세상을 지옥으로 만드는 자 니가 바로 사탄이지,True,1,2025-02-23T08:35:49+0900,852102773959819415,1,0,0
park****,3AsOY,장담하지  넌 구속된다,True,1,2025-02-23T08:33:22+0900,852102616790859852,1,0,0
hjdo****,afGp9,죽을것을 아나봄. 살아돌아오기를  외치다니 ㅋ,True,1,2025-02-23T08:31:08+0900,852102472557133844,1,0,0
song****,,,False,1,2025-02-23T08:29:12+0900,852102347617206310,0,0,0
jhw7****,SVwS,오만원 태국기 알바생들 집합. ㅋㅋ,True,1,2025-02-23T08:26:39+0900,852102183502479457,1,0,0
rook****,2bdZz,90전에 광복절 특사로 나올수도 있긴 하겠네요~,True,1,2025-02-23T08:26:11+0900,852102153471262747,1,0,0
sumi****,3dNeC,윤씨가 죽었냐?살아돌아오겡~무슨 예수 부활 얘기하듯하넹~내란은 최고형이 사형이고 가장가벼운게 무기징역이예요~ 전씨야~,True,1,2025-02-23T08:24:31+0900,852102046650728517,1,0,0
dhks****,,,False,1,2025-02-23T08:23:36+0900,852101987393601637,0,0,0
ange****,rC4F,돈을 벌어먹는 방법도 저질스러워요. 전광훈 하느님 팔아 먹으면서 법질서를 무너트려 대한민국 근간을 흔드는 선동 그만하세요. 국힘이 전광훈당으로 명칭 바꾸면 딱 맞겠네요. 소수의 광신도들이 나라를 아수라장으로 만들었어요. 대학교까지  학생들 선동해서 돈벌이 하는 걸 보니 한심스럽기 그지 없네요.,True,1,2025-02-23T08:23:23+0900,852101973283962948,1,0,0
heej****,FAug,전광훈을 보고도 비정상이라고 생각을 못하는 사람들이 주최하는 집회에 참가 한다? 그럼 그사람들의 정신상태가 이미 세뇌 당할대로 당했다는거임,True,1,2025-02-23T08:22:21+0900,852101906493866042,1,0,0
boar****,,,False,1,2025-02-23T08:19:29+0900,852101721541836857,0,0,0
yoon****,4JoUt,이 세~에~키땜에 암걸릴것같다,True,1,2025-02-23T08:17:28+0900,852101592357273674,1,0,0
noju****,1qgyg,너는 반드시  살아  생전에  니가 한 모든 일에  책임을 져야  할 것이다  오래  살아  그 모든  심판을  네 눈으로  보게 될것이다  가짜야!!!!,True,1,2025-02-23T08:17:08+0900,852101570211348497,1,0,0
1stf****,,,False,1,2025-02-23T08:17:06+0900,852101568416186390,0,0,0
sooy****,3kryr,광후나 니 걱정이나 해라.나도 이번에 들어 가면 오래 살것 같더만…,True,1,2025-02-23T08:15:17+0900,852101451780980782,1,0,0
qudf****,,,False,1,2025-02-23T08:14:42+0900,852101414149685363,0,0,0
jun5****,,,False,1,2025-02-23T08:14:33+0900,852101403714256975,0,0,0
cexz****,m7FD,호구들 데리고 다니면서 쪽쪽 빨아먹는중...ㅋㅋ,True,1,2025-02-23T08:12:29+0900,852101270536716365,1,0,0
rkdc****,9sFqH,꿈도 야무지네...아나떡이다...만장일치 파면에 저자또한 내란선동으로 엄하게 처벌해야한다...법은 뭐하노 저런인간 처벌 안하고....뉴스보니 사람모아놓고 하나님팔아 노인들 주머털어 지배만 불리더만...,True,1,2025-02-23T08:12:25+0900,852101266526961719,1,0,0
karm****,,,False,1,2025-02-23T08:12:21+0900,852101261879672894,0,0,0
inoh****,66UBQ,"뻥치지지마라, 마음에도 없는 소릴..., 국민의힘 국회의원들이 머릴 조아라니까, 국민들이 전부 발 아래로 보이지..., 불법을 저지르고 폭력을 행사해도 경찰이 윤석열이 눈치보고 가만히 있으니까, 국민들이 바보로 보이지..., 전광훈이 유튜브, 카드, 휴대폰 사업으로 윤석열이 탄핵 집회를 이용해서 벌어들이 돈이 얼마인데, 탄핵반대, 웃기지 마라....ㅋㅋㅋ ㅋㅋㅋ",True,1,2025-02-23T08:12:01+0900,852101241210142722,1,0,0
2332****,2o5dS,살아 돌아온다??  사형선고가 나온다...물론 아깝게 우리나라는 집행을 안한다!,True,1,2025-02-23T08:11:58+0900,852101238039249032,1,0,0
dbse****,,,False,1,2025-02-23T08:10:49+0900,852101163363860602,0,0,0
para****,7ipFy,빤스야 그만해라 너도 끝이 보인다,True,1,2025-02-23T08:10:27+0900,852101139825426496,1,0,0
hcha****,5Xwx4,수준 참 낮은데 저걸 돈을 줘 가며 따라다니는 사람들도 참 답없네 ㅋㅋㅋㅋ 여튼 윤석열은 꼭 사형 시키자 무기수로 깜방에 있으면 저 사람들 맨날 저짓할거 같다,True,1,2025-02-23T08:09:18+0900,852101066156671028,1,0,0
khle****,,,False,1,2025-02-23T08:08:47+0900,852101032602239094,0,0,0
9163****,,,False,1,2025-02-23T08:08:39+0900,852101023475433569,0,0,0
wjk0****,4Gqft,사이비 꼴통 전광훈의 말이 실현될까? 절대 그럴 일 없다. 공의로우신 하나님이 내란 수괴 윤석열이 파면되고 대한민국이 안정되길 바라는 많은 이의 기도를 들어주실 것이다. 20일 안에 결정된다!,True,1,2025-02-23T08:01:34+0900,852100568057905219,1,0,0
gran****,,,False,1,2025-02-23T08:01:14+0900,852100546549514274,0,0,0
kk_7****,ay2OU,이사이비목사넘  당장구속안시키구 뭐하냐,True,1,2025-02-23T07:47:44+0900,852099676885745756,1,0,0
wwww****,,,False,1,2025-02-23T07:47:29+0900,852099660376965179,0,0,0
cp43****,1CidP,얜 구속 안됨??   얘때문에 기독교가 너무 싫음..,True,1,2025-02-23T07:46:48+0900,852099615984451676,1,0,0
momo****,2tICl,헌금 많이 걷었니?,True,1,2025-02-23T07:42:37+0900,852099346827575371,1,0,0
j_s-****,2cZqj0,살인과 사체유기사건 조사나 받아라. 자백에도 불구하고 저걸 그냥 두냐?,True,1,2025-02-23T07:41:18+0900,852099262102634531,1,0,0
ice_****,2pjyX,지 아들까지 암매장한 놈을 목사라고 떠받드는 사람들은 머냐 도댜체,True,1,2025-02-23T07:39:17+0900,852099132163096607,1,0,0
yodg****,YoiQ,장사꾼 목사 돈벌이 집회 하나님도 까불면 혼나 했던 전 광훈,True,1,2025-02-23T07:36:48+0900,852098972125233235,1,0,0
nabr****,apIU,저딴게 목사라니 기독교는 망했다,True,1,2025-02-23T07:36:32+0900,852098955079581748,1,0,0
hsg7****,1sDEf,지금 대한민국 자칭 애국보수의 상징과 같은 인물이네.,True,1,2025-02-23T07:33:03+0900,852098730231332869,1,0,0
rhkr****,bVTmv,"전광훈  하나님 위에 있는자가 어찌  목사란 말이냐
전한길 이도 집사라고?  참 하나님 믿는 자들이 꼭 깡패 집단처럼 보이네",True,1,2025-02-23T07:32:14+0900,852098677701869588,1,0,0
goye****,4fCxD,이들은 썩렬이의 거짓말이 안들리나봐  귓구녕에 돌을박아놨나,True,1,2025-02-23T07:31:32+0900,852098632638267466,1,0,0
hi13****,4rhy7,목회자의 탈을 쓴 양아치 전광훈~  이런자 앞에서 폴더인사하면서 표를 구걸하는 국짐당의원들~  이자들의 비참한  최후가 기대된다.,True,1,2025-02-23T07:29:05+0900,852098475150540808,1,0,0
ms02****,po0b,"미친 사이비인데.....가짜여 저거 기독교인아녀..
절대 그럴수없어 선동질 지돈벌려고 쑈하는건데..",True,1,2025-02-23T07:23:21+0900,852098105179373606,1,0,0
nolk****,Yegi,저거 아직도 구속 안된거여? 나라에 암 같은 존재.,True,1,2025-02-23T07:19:26+0900,852097852816490537,1,0,0
hant****,doBnB,"전광훈집회나가는 인간들이보수맞나.맞다면
평생보수지지할일은없음",True,1,2025-02-23T07:14:18+0900,852097522540216360,1,0,0
kims****,66zaL,목사가 돈에 목매달은 목사가 되어야 쯔쯔..참 목사는 목매 죽는걸 목사라고 하던데 ...맞는가?,True,1,2025-02-23T07:13:25+0900,852097465715785779,1,0,0
0406****,8VvDk,이자는. 생매장해야,True,1,2025-02-23T07:12:32+0900,852097408841023544,1,0,0
cbh6****,B050,"하나님,하느님,부처님
  저노마좀  처단해주이소",True,1,2025-02-23T07:12:30+0900,852097406743871546,1,0,0
hbm8****,acir2,교회가고싶어도 안가겠다,True,1,2025-02-23T07:09:58+0900,852097243082129477,1,0,0
mild****,1CJ5Z,반국가세력들이 중국인 동원 거리면서 물흐리는데 정작 버스로 실어 나르는건 지들 아녀?,True,1,2025-02-23T07:06:47+0900,852097038685306958,1,0,0
jame****,1uSKK,살아돌아와...?? ㅋㅋㅋ 그랬다 치자..... 근데 그다음은...??? 감당돼....?? 무식한거 저거 아주.... ㅋㅋㅋ,True,1,2025-02-23T07:00:13+0900,852096615295483925,1,0,0
sukg****,6Ue8j,이인간 아직도 안잡아갓나 대한민국 악의축 사이비 미치광이 전광훈,True,1,2025-02-23T06:52:42+0900,852096131272802352,1,0,0
aegu****,hCNo,"이넘아직 감방안감?
당장 체포구속시켜라!",True,1,2025-02-23T06:52:17+0900,852096104144044056,1,0,0
pjku****,1qgVE,이런 놈은 재판도 아깝다. 그냥 현장에서 공개처형 하라,True,1,2025-02-23T06:48:18+0900,852095847922401303,1,0,0
aser****,,,False,1,2025-02-23T06:47:32+0900,852095798194733092,0,0,0
swd0****,ayWbQ,"어쩌다가 저런 마귀가 대한민국에 태어나서 나라를 혼란스럽게 하는지ᆢ기독교 특히 개신교
단체는 저런자를 계속 두고 볼것인가? 교회라는 
 단어가 이제는 혐오스럽게 다가온다ㆍ악마들의 소굴처럼 보인다ㆍ",True,1,2025-02-23T06:41:05+0900,852095382606315529,1,0,0
kch3****,1sDN3,지금의 딱 2찍들 수준=전광훈,True,1,2025-02-23T06:40:51+0900,852095367708147786,1,0,0
hmn8****,1aU8E,"얼굶만     tv 에    스쳐도    스트레스     만땅이다.
전국민   암   걸리겠다....   내한선동죄로    즉각   구속하라.....",True,1,2025-02-23T06:34:30+0900,852094958813839398,1,0,0
0309****,DRYP,"니바램일뿐
미틴 사이비 할베야 ㅡㅡ
곱게쳐늙어라",True,1,2025-02-23T06:29:11+0900,852094616306974732,1,0,0
gusa****,,,False,1,2025-02-23T06:24:20+0900,852094303328010272,0,0,0
admi****,I0hg,하느님 혼내서 풀어주면 되는 쉬운일인데 왜 사람들한테 폰팔고 강매하고 앉았니?,True,1,2025-02-23T06:20:57+0900,852094085257756743,1,0,0
