user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
chyc****,22nPQ,대한민국 역사에서 범죄자 대통령과 항상 함께 하고 지지하는 국민의힘,True,1,2024-11-06T11:27:05+0900,842001737165307948,1379,23,29
gogo****,1TA8U,2찍들아ㅋㅋ창원대 애들보고 좌파라고 지끼봐라ㅋㅋㅋ,True,1,2024-11-06T11:28:42+0900,842001840613622094,587,16,19
ogik****,JsSM,"창원대의 자랑아닌가? 서울법대 출신들을 쥐락펴락, 하버드까지",True,1,2024-11-06T11:26:45+0900,842001715522699599,401,8,6
wshu****,1pNya,저걸 왜 철거하냐 학교부터 이상하구나,True,1,2024-11-06T11:30:00+0900,842001924399038470,274,4,1
hyun****,3LBwh,먼저  2찍한거 반성부터 해라.,True,1,2024-11-06T11:29:14+0900,842001875845775478,130,7,10
bang****,1ma7H,창원대 학생들이 사대문 내놓라하는 대학생들보다 백배 낫네.나라가 이지경 되도 대학생들 조용해서 젊은이들 왜이러지?했는데 이제 대학생들도 일어나기 시작했군요.들불처럼 일어나 하루빨리 윤건희 탄핵시키고 대한민국의 위상을 되찾읍시다.,True,1,2024-11-06T12:00:36+0900,842003895906468133,81,1,1
yj68****,7DSze,서울대. 연.고대  학생들은  모하니 ?   조국때는 정의를  외치더니 ?,True,1,2024-11-06T12:04:03+0900,842004118254911517,74,1,0
kyhh****,2V6rD,"숙대와 국민대는 거니가, 창원대는 명태가 학교의 격을 떨어뜨리는 구나? 그래도 창원대는 못난 선배에게 비판까지 하는걸
보니 아직 희망이 보인다.",True,1,2024-11-06T11:52:03+0900,842003345261461527,66,0,0
shih****,,,False,1,2024-11-06T11:39:18+0900,842002524083847337,0,0,1
skys****,1NaMS,"서울대생들이 얼마나 사회적 개념이 없는거냐.
기득권집단이 되기 위해 가는 학교라는걸 알 수 있음.
사고와 사상과 개념 없이 입맛대로 분노하는 선택적 분노로 가득한 꼴통학교.
진짜 저딴 곳에 들어가는 세금이 아깝다.
서울대 법대는 범죄자 양성학과 인데도 불구하고 입소리 하나 뻥끗하지 못하는 것들.
금붕어가 숨쉴때랑 뭐 쳐 먹을때 뻐끔 거리는것처럼 서울대 법대생도 다를게 뭐냐. 아니 서울대생들이 대한민국 인류를 망치는 주범집단이지 저게. 니들 선배라고 하는게 지 마누라 방탄하고 대한민국 말아먹는데도 아닥하고 있는데 무슨 상위1%냐. ㅉ",True,1,2024-11-06T12:42:35+0900,842006601131884829,45,1,1
zzun****,1c2Ln,선배는 개판인데 그래도 훌륭한 후배들이 많네,True,1,2024-11-06T11:41:32+0900,842002667898143021,40,0,0
sjin****,256sZ,대자보로 되겠나~학생들의 의식이 살아 있음을 보여라~일어나라.모여서 규탄하라~전국민과 함께 퇴진운동을 해야한다.더이상 나라가 안 망할려면~,True,1,2024-11-06T11:34:18+0900,842002202196181157,38,0,0
wink****,,,False,1,2024-11-06T12:16:15+0900,842004904233926794,0,0,0
wooz****,1cvsz,서울대 연고대는 아직 이런 대자보 하나 없고 학생들도 교수들도 조용하구나.,True,1,2024-11-06T12:03:34+0900,842004086847963393,27,0,0
weed****,4frFy,서울대보다 훌륭한 인제들이 창원대에 있었군...어른된 입장으로 학생들에게 미안하네 ...,True,1,2024-11-06T11:59:47+0900,842003843829989718,23,0,0
aa11****,161EI,학교는 ㅈ 같지만 학생은 위대했네. 창원은 대구랑 다름. 창원은 노회찬찍어준 도시임.,True,1,2024-11-06T11:42:51+0900,842002752690192835,22,0,0
ruby****,1S7Ae,여기 학생들 생각 수준이 설대 보다 낫네,True,1,2024-11-06T12:30:01+0900,842005791094341640,22,1,0
neo5****,OcAO,이 사기꾼 부부 때문에 온 국민이 부끄럽다~~,True,1,2024-11-06T11:55:05+0900,842003540447592484,18,0,0
pink****,7MaSD,부울경 젊은이들이라도 깨어나라 제발~~~,True,1,2024-11-06T12:36:29+0900,842006208394035414,16,0,0
imju****,3jfEX,서울대 연고대  선택적 침묵하는 한심한 것들보다 한수위네요 창원대  ~^,True,1,2024-11-06T13:49:24+0900,842010905846743234,15,0,0
kbli****,,,False,1,2024-11-06T12:37:44+0900,842006288337469810,0,0,0
kjc0****,aD4hC,"창원대 학생님들 존경합니다.
서울법대것들보다,하바드출신 이 머시기의원보다. 훌륭합니다.",True,1,2024-11-06T12:19:32+0900,842005115559739651,12,0,0
shd7****,22Fgo,창원에서 이런 대자보가 올라온다는게 놀랍고 미래의 주인공들에게 응원의 박수를 보냅니다,True,1,2024-11-06T12:51:11+0900,842007155316883555,9,0,0
ahwa****,2yUar,"여윽시 마산의 피는 살아있네 !!! 부마는 역사적으로 광주이상의  정통적 야당 민주주의를 갈망하는 도시였다, 임진왜란도 왜구로 부터 이순신장군예하 남쪽의 민중들이 피로 지켜낸 혈란이었다. 6.25도 낙동강 이남 한자락에서 국운을 걸고 온 국민이 피와 눈물로 가족의 목숨으로 지켜낸 성지이지,김영삼의 삼김합당만 아니었어도 이나라는 동서로 두동강 나지 않고 3개구의 벨런스로 민주주의를 더욱 발전시켰을테지,, 바보노무현분의 핏대선 칼외침이 다시 울린다.대한민국의 민주주의는 언제나 부마에서 시작하여 서울을 거점으로 광주에서 꽃을피워다!",True,1,2024-11-06T12:27:20+0900,842005618523898032,9,0,1
kama****,1AgBJ,역시창원대  서울법대보다가  좋은대학이군,True,1,2024-11-06T14:20:38+0900,842012917804040492,8,0,0
hyon****,dqXZ5,창원대가 설고연대보다 낫네 &gt;_&lt; 요 3개대는 왜구 후손들이 자본으로 총학생회장 학년회장 등 요직 장악됨 ! 내 사견 .. 그렇지 않고서야 지방 창원대보다 조용하니 ㅛ 취업공부도 발전 성장 있어야 늘어난다 ! 지금봐라 고급 고임금 일자리 줄고 있어 외국으로 나가지 않나 ! 있는 집은 ....,True,1,2024-11-06T12:18:17+0900,842005035146543240,8,0,0
shk3****,2e67t,"진짜 어쩌다 저런것이 대텅이되가지고 온나라를 쑥대 밭으로 만드는거보면 천불나미쳐버리겠다!
저것은 천번을 사형해도 분이 안풀림!!!!!!!!!!!!!!",True,1,2024-11-06T12:28:28+0900,842005691706114239,7,0,0
kama****,1AgBJ,역쉬. 창원대 국립이여,True,1,2024-11-06T14:57:12+0900,842015274063364199,6,0,0
cwar****,5Dbiy,"민심만 흉융하면 북한, 전쟁이야기 나오는데...  군대 안다녀오면 남자든 여자든 대통령 후보 못하게 만들어야됨. 
아니면 국군통수권자 할사람하고 선거후보를 2명으로 뽑든지..
분단국가에서 뭐하는건지... 
국회의원이고 정치하는놈들이고 정상적인 예비역비율이 이꼬라지니깐 역사의식도 문제 안보의식도 문제...",True,1,2024-11-06T12:19:35+0900,842005118747410677,6,0,0
sgy5****,30GEi,서울대보다 낫네,True,1,2024-11-06T12:03:22+0900,842004074533486783,6,0,0
kws1****,,,False,1,2024-11-06T13:38:36+0900,842010209508393219,0,0,0
junn****,,,False,1,2024-11-06T11:53:52+0900,842003462282543472,0,0,0
kymm****,JTfz,"제대로 가르치는 창원대를 응원합니다.
사울대 쪽팔리지도 않냐?",True,1,2024-11-06T14:57:22+0900,842015284297466029,5,0,0
blue****,4AWHV,창원대 학생들 선배의 부끄러움을  말할수 있는 멋진 학생들이네요ᆢ격하게   응원합니다,True,1,2024-11-06T14:15:52+0900,842012610395111823,5,0,0
japn****,5roH9,글을 보니 SKY 는 왜 가만 있냐는 글이 있는데 이제 개천에서 용 나오는 시절은 끝났어요. SKY 출신 대다수가 중산층 이상의 부유층에서 나옵니다. 돈 있고 좀 배웠다는 많은 사람은 국민의짐 쪽으로 편중되어 있습니다. 이렇게 집안에서 교육 받은 SKY 학생들에게 창원대와 같은 마인드를 가지라고 하는 것은 욕심입니다. 이유는 부자감세에 있습니다.,True,1,2024-11-06T13:15:04+0900,842008694106357807,5,0,0
pjj6****,3Y5u,깨어있는 젊은이들이 있어 그나마 다행 앞으로의 미래 그리 어둡지만 않다는거 그나마 위안 설대 연 고대 이것들은 일본의 잔재들 인가 이것들이 결국 나라를 말아 먹는 존재들인지 아닌지 함 지켜보마,True,1,2024-11-06T12:09:29+0900,842004468764508406,5,0,0
tjdg****,1Ou3u,윤건희가 대통령이지,True,1,2024-11-06T11:32:20+0900,842002075108769931,5,0,0
fres****,36SAW,윤석열을 제일 존경하는 선배로 뽑고 아직도 아닥하는 서울대 것들보다 훨씬 정의롭고 똑똑한 대학입니다.,True,1,2024-11-06T17:00:21+0900,842023207706820783,5,1,0
baek****,2bLsiw,대통령 잘못 뽑아서 국민이 고생하네..창원대학생들 응원합니다.쩍 짝 짝~,True,1,2024-11-06T13:20:13+0900,842009025137606762,5,1,0
chch****,,,False,1,2024-11-06T16:15:41+0900,842020329457975647,0,0,0
chol****,1Y9T9,서울대가 더수치다 창원대가 서울대생출신검찰총장까지한 대통령을 부려먹었으니 창원대 짱이다 전정부서 검찰개혁반대 범죄천군된다고 하던한동훈 검찰공화국 만든 일등공신뭐하냐 특검발의하라,True,1,2024-11-06T15:52:00+0900,842018804308377601,4,0,0
pesi****,33AQb,"창원대  젊은이들, 정신이 살아있네요. 기쁜 마음으로 응원하고 기억할게요.",True,1,2024-11-06T14:13:03+0900,842012429050183724,4,0,0
sayb****,,,False,1,2024-11-06T14:09:40+0900,842012210795381059,0,0,0
bern****,2bw7UQ,"아이고 최고학벌들이 이제서야 🐕 석열 탄핵  대자보를 썼다니 다행이네, 늦은감은 있지만 지금부터 국민들이  힘을 모아서 파렴치한 🐕 검찰과 🐕 석열 일땅들 싹쓰리 국정농단 사법농단으로 탄핵 시켜야 한다고  봅니다!",True,1,2024-11-06T13:52:38+0900,842011114236543250,4,0,0
cmr2****,3WJmm,"정치 초보한테 대통령하라고 뽑은 국힘당이
문제임다. 박그네도 무능해 탄핵됐고 윤석렬 곧 탄핵될거임",True,1,2024-11-06T13:42:02+0900,842010430564990997,4,0,0
rlat****,3t3Pb,창원대 학생들 응원 합니다.,True,1,2024-11-06T13:39:19+0900,842010256367157377,4,0,0
abba****,1RpTl,대자보 철거는 민주주의 국가에선 있을수 없는 일인디ㅋㅋㅋㅋㅋㅋ 진짜 막가는구나ㅡ,True,1,2024-11-06T12:18:44+0900,842005064842215776,4,0,0
k16f****,,,False,1,2024-11-06T12:16:58+0900,842004950169944503,0,0,0
