user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
satu****,ch4MY,공수처&lt;서부지방법원&lt;우리법연구회&lt;헌법재판소TF&lt;민주당&lt;중국공산당 커넥션,True,1,2025-02-27T11:56:12+0900,852486768866361403,452,40,16
neoc****,2I3ZM,"선관위원장을 대법관 겸직하고, 그 대법관이 헌재 재판관으로 임명되니 무소불위 타락한 집단으로....감사도 안돼, 압수수색 수사도 안돼, 계엄을 통해서 조사고 안돼 ㅋㅋㅋㅋ 무적치트키네. 대통령도 탄핵하고 헌재는 대한민국 최고 수령임.",True,1,2025-02-27T11:57:22+0900,852486843894071454,326,4,5
qhdw****,r74h,여야 합의가 안된 인물이라서 여야합의 후에 임명하겠다는 임명권자의 권한을.. 왜 헌재가 임명을 하라고 정하냐? 헌재 니네가 임명권자냐?? 그리고 우원식이 1인이 국회전체를 대표하냐?? 왜 우원식이 혼자 낸 권한쟁이인데.. 이게 왜 국회에서 낸 권한쟁이 심판이 되냐?? 헌재가 완전히 썩었구나..,True,1,2025-02-27T11:58:24+0900,852486910566727831,263,13,8
lost****,,,False,1,2025-02-27T11:59:15+0900,852486965042348130,0,0,2
leeh****,2i9sc,헌재가 미쳐가고 있구나,True,1,2025-02-27T11:54:17+0900,852486645386051727,88,7,7
lltg****,nTiF,헌재는 대놓고 정치재판 하는 곳으로 사법부라 할 수 없다. 헌재는 폐지해야 한다,True,1,2025-02-27T12:41:50+0900,852489709073465660,33,1,0
hbyi****,4lxux,"사악한 중앙일보야 ~!  제대로 보도를 해야지 ....  임명에 대한 인용은 되었으나, 적법절차는 기각되었다면 ~~~ 당연히 국회 본회의 의결걸쳐서 임명동의안이 제출되었어야 할것을 무식한 우원식이 내가 국회다 하면서 권한쟁의를 올리면되나 ???  국회의결을 통해 임명하는건 당연한데,  국회의결 절차를 안거쳤으니 이제라도 국회의결을 다시 요청해서 가결되면 임명을 요청하면 될듯하네 ~ ... 국회 여야의 임명동의안 의결을 다시해봐라 ~ 될때까지 ... 이 사악한 우원식과 더불어내란당아 ~!",True,1,2025-02-27T12:10:40+0900,852487701025259722,23,1,0
love****,3lStc,판결문 자세히 읽어보니~임명을 강제하는게 아닌데 언론들은 또 왜곡해서 몰아가네~~,True,1,2025-02-27T12:18:49+0900,852488226403778900,21,0,0
idmu****,,,False,1,2025-02-27T12:43:24+0900,852489810072305845,0,0,0
kbs7****,,,False,1,2025-02-27T12:22:41+0900,852488474689798407,0,0,0
dewy****,,,False,1,2025-02-27T12:59:36+0900,852490853363482880,0,0,0
ykmg****,15wPo,"국회가 추천한 사람이어야 하는데, 국힘 빠진 민주당 단독추천이었다. 민주당이 곧 국회 전체이고, 국민의 뜻인가? 편향적인 헌재 판결에 반대한다. 그리고, 우리법연구회 출신 두명 임기 재연장도 웃기는 처사다. 그렇게 되면, 헌재는 국민의 뜻이 아니라, 공정과 정의를 벗어난 우리법연구회, 즉 이재명의 뜻이 된다는 말인가?",True,1,2025-02-27T12:08:51+0900,852487583869960507,14,2,1
hong****,1qsPs,대통령이 문제가 있어서 임명하지 않는데 헌재가 임명 강요하는 것은 절대로 안되는 짓이다 그런 헌재 필요 없다 해산하라,True,1,2025-02-27T20:57:44+0900,852521657422577901,13,2,0
ho93****,2YJhp,마은혁 미임명의 국회구성권 침해부분은 전원일치 인용했으나 5인은 본회의의결필요없다는 의견 반면3인은 본회의 의결이 필요하나 추인되었다그ㅡ 판단..마은혁을 즉시 임명하여야 한다는 청구는 각하됨..최 권한대행이 마은혁을 즉시 임명해야하는것은아님..국회구성원 침해만인정된것!!,True,1,2025-02-27T12:01:35+0900,852487115517198545,12,1,0
ccho****,2ZX4R,"끝까지 정치적 좌편향성을 의심케 하는 헌재~마은혁 임명件 보다 한덕수 대행 탄핵때 151표냐, 200표냐 결정과 한덕수 대행의 탄핵여부 판단이 먼저 였어야 했거늘~ 뭣이 더 중하고 뭣이 더 급한데? 그걸 못하면 편향성 의심 받고 욕먹는게야~",True,1,2025-02-27T11:57:14+0900,852486835253805161,12,1,0
ymlo****,yiFc,마씨는 임명하라고하고. 선관위 감사는 안된다고 하니 이게 헌재인지 민주당 인지 헷갈리네요,True,1,2025-02-27T15:29:23+0900,852500503282581654,11,1,1
wlsa****,433QJ,계엄도 대통령 권한인데,True,1,2025-02-27T14:47:25+0900,852497799030243525,11,2,2
thak****,1ycTi,와 국민들 알기를 진짜 개같이  아네 이게 상식적인 나라냐??니들이 원하는게 대한민국이 무너지길 바라는거냐??이게 다 국민들 잘살게 만드는거야???,True,1,2025-02-27T12:43:56+0900,852489844113277308,10,1,0
sh49****,49NXA,문형배의   행동들에서 대통령을 얼른 탄핵 시키고자 하는 마음이 보인다.  애초부터 저사람의 결론은 정해졌던게 아닐까? 재판은 형식적인 보여 주기 쇼인가?,True,1,2025-02-27T23:23:07+0900,852531023689285673,9,0,0
park****,,,False,1,2025-02-27T19:16:55+0900,852515162291175724,0,0,0
mine****,1PJst,국회가 선출한 사람이 지나치게 편향된 사람이라는게 문제지. 애초에 저런 사람을 선출하고 헌재 보내려는게 잘못됐음. 진짜 국가를 생각하는게 아니라 자기네편 심어놓으려는 의도 그 이상 그 이하도 아님. 극좌정당이 나라 다 망가트리고 있다,True,1,2025-02-27T13:02:19+0900,852491028987379872,9,0,0
apjj****,2wITh,이제까지 하는꼴보니 세금낭비만하는헌재 해체하고 대법원에서 권한인수해라.  스스로가 헌법과 법치를 훼손하는 헌재는 필요없다,True,1,2025-02-27T12:53:50+0900,852490481580376383,9,0,0
lewi****,12ydV,헌재는 결국 어린이 모의재판 같은 곳으로 수준이 떨어졌구나. 미합중국의 헌재는 아주 똑부러지게 존경할 만 하더니... 역시 분단국가에 간첩이 없을 수 없지. 쯧쯧 어쩌다 나라가 이지경에,True,1,2025-02-27T14:24:52+0900,852496346827981144,9,1,0
esue****,byfGH,헌재 이 것들이 정신 나간 것들이네.  국회에서 추천해 준 사람을 대통령이 임명하지 않으면 위헌이라고? 그러면 처음부터 헌법에서  헌법재판관 임명권을 대통령이 아닌 국회에 줬겠지.  왜 국회는 추천하고 대통령은 임명하도록 했겠냐? 임명권을 대통령에게 준 건 국회에서 추천한 사람이라도 부적절하다 싶은 사람은 대통령이 거부할 수 있도록 한 장치 아니냐? 그런데 무조건 국회에서 뽑은 사람은 무조건 대통령이 임명해야만 한다면 그 게 허수아비지 대통령이야? 헌재가 그래도 최고 사법기관에 속하는 걸로 알고 있는데.. 저런 판결을 하다니 ㅉㅉㅉ,True,1,2025-02-27T12:49:20+0900,852490191703638144,9,1,0
jaco****,,,False,1,2025-02-27T22:18:21+0900,852526851128557681,0,0,0
khw0****,QZBY,아니 왜 굳이 편향적인것이 공공연한 인사를 가장 공정해야할 자리에 앉히려는것인가 왜 굳이??,True,1,2025-02-27T17:56:01+0900,852509950482579466,8,0,0
pkg0****,OlnG,헌재가 왜 있어야 하는건지에 대한 부정적인 입장을 가지게 되는 명확한  판결이다.......헌법재판관이 우리법 연구회라는 해괘망칙한  사모임에 의해 판결이 좌지우지 된다면 그 판결은 이미 정당성을 잃은 판결이자 그들만의 리그라는 시각에서 자유로울수 없다......이쯤해서 헌재는 조직 자체를  해체하는게  맞다고 생각한다,True,1,2025-02-27T13:01:10+0900,852490954362323014,8,0,0
wwul****,Z7cG,임명길을 열어줬다니 내 눈엔  회피한것으로 보임. 탄핵 증거들이 다 조작과 거짓과 공작이다. 홍장원 박선원 김병주 오동운 박세현 모두 즉시 체포 대상임. 우리 대통령 석방하고 탄핵 각하하라,True,1,2025-02-27T12:40:04+0900,852489595072282654,8,0,0
hgs1****,2SUhs,헌재가 애쓴다  역겹도록,True,1,2025-02-27T12:29:44+0900,852488929285243168,8,0,0
yida****,Kprd,나라가 찢죄멍이때문에 골병이 드는구나,True,1,2025-02-27T15:24:32+0900,852500190303617246,10,3,0
7hea****,,,False,1,2025-02-27T11:58:17+0900,852486903167975533,0,0,3
won8****,,,False,1,2025-02-27T22:21:00+0900,852527021568294917,0,0,0
wism****,v0Jy,"오늘 헌재가 선관위 감사를 위헌이라 했단다! 대한민국에서 가장 불신을 받아야 할 곳이 어디인지를 보여주는 여실한 판결 아닌가? 헌재가 신의 판결을 하는 곳이 아니다! 자신들이 선관의장 했다고 저런 판결하는거 아닌가? 인간이다! 결국 인간이 헌재에 있으니, 어찌 공정을 바랄 수 있는가?",True,1,2025-02-27T18:03:27+0900,852510429119774850,7,0,0
ko06****,2L4ki,"캬아~~  이것들봐라..여지껏 안한건 뭔데? 민주당이 안했던건 왜.설명이 없냐고? 니들 입맛대로 대통령 파면을 위해.,이제와서 임명해 채운다고???",True,1,2025-02-27T12:25:02+0900,852488626221613071,7,0,0
jjan****,5j1K8,헌재 즉시 해산시키고 문형배와 미선이를 구속시켜라,True,1,2025-02-27T18:10:48+0900,852510902556033290,8,2,0
msg8****,sDIg,헌법재판소 의   좌익판사가  제멋대로   재판소를  좌지우지  하고 있읍니다  !  이 것들을  몰아내야  헌법재판소 가  정상화 가  됩니다  !  현재는  쓰레기 장  입니다  !,True,1,2025-02-27T13:07:57+0900,852491391274582374,7,1,0
paul****,1lqtD,그래봤자 임명권이 헌재에게 있는 건 아니잖아? 잘못됐다라고 결정만 내릴 수 있을 뿐. 혹 임명한 걸 위법하다고 하면 그 즉시 임명이 무효가 되겠지만. 민주당이 더 이상 할 수 있는 건 뭐 최상목 권한대행 탄핵 할 건가?,True,1,2025-02-27T12:10:09+0900,852487667588268098,7,1,2
appl****,,,False,1,2025-02-27T11:55:33+0900,852486727577632969,0,0,0
sun7****,zrQT,상식적으로 심판에 참여하지 않았고 이미 심판도 끝난 마당에.. 어떤 심판에서 그 자리에 없던 판사의 판결을 기다려야 합니까? 마은혁 때문에 마지막 변론이라도 다시 해야 합니까??  이건 마은혁이 판결 할 수 없는 거예요.,True,1,2025-02-27T21:01:56+0900,852521927451869477,6,0,0
yunc****,,,False,1,2025-02-27T13:16:50+0900,852491963461534006,0,0,0
b-ta****,dVzPN,그러면 대통령이 왜 필요하냐 국회만 있으면 되지~ 헌재가 썩었다.,True,1,2025-02-27T12:29:04+0900,852488885983248420,6,0,0
jdy1****,8Wrqj,사법기관 마저 법적인 논리가 아닌 이념논리로 갈라져가니 우리의 미래가 걱정스럽다.,True,1,2025-02-27T12:27:05+0900,852488758996500510,6,0,0
naya****,1plos,헌재냐 우리법연구회 동호회냐? 민주당 혼자 국회 추천 여1 야1 합의1 원칙을 깬 것이니 임명하지 않는게 맞다 2명 임명한것도 최대행은 대행의 대행의 큰실수인데 더이상 뭘 하지말라,True,1,2025-02-27T12:24:58+0900,852488622698398106,6,0,1
bc20****,1M9Ua,우리법연구회라...이게 하나회보다 위험한자들이다.,True,1,2025-02-27T12:21:28+0900,852488396340199594,6,0,0
phk4****,43R9o,"우리 사회에서 가장 썩은 곳이 사법부 이다
헌법 재판소, 선거관리위원회 는 청산해야할 
적폐집단 이다",True,1,2025-02-27T17:18:22+0900,852507524379705481,6,1,0
sdi3****,1KWJ1,헌재와 민주당은 이렇게 말썽많은 마은혁을 대법관을시키려고 하는지 탄핵이든 기각이든 자신있으면 중립적인 법관 임명하면 되는 일을 의혹을 만드는 것은 무슨 심보인지 현재 구조로는 기각 될까봐 좌파들 쫄고 있나보네 정도가 아닌길은 또다른 난관이 기다리고 있다는 역사적사실이라는 교훈을 잊지 않았으면 한다,True,1,2025-02-27T15:37:48+0900,852501045069218113,6,1,0
pol0****,2vgbi,법은 뒷전이 되어버린 채 정치와 이념의 놀이터가 되어버린 헌법재판소는 폐지 청원운동으로 폐지시키고 대법원에 그 역활을 맡겨야 한다. 사법부 전체에 대한 리셋이 필요하다.,True,1,2025-02-27T13:07:13+0900,852491344432595032,6,1,0
henr****,6wbO3,"마은혁  국회 여야  합의도없이 헌재
마음대로  임명  법을지켜야할 헌법재판관들
법지키지않고 인원수에밀려서 임명하려고
혈안이도는구나 너희들   만일임명되면
국민  저항권에 직면 할것이다",True,1,2025-02-27T12:13:29+0900,852487882504405167,6,1,0
ssun****,2CQ7H,쉽게 말해 확실한 야당표 확보하겠다는 욕심그득한 말장난 아니냐.. 그것도 헌법재판관을...부정선거처럼 꼼수로  붙혀보겠다는 얼토당토 안한 짓거리. 썩어도 너무 썩었다. 이놈의 정치판,True,1,2025-02-27T12:40:16+0900,852489607571308650,5,0,0
chin****,6VIud,판사넘들 모두 한통속이다. 법 위에서 대한민국을 농단하고 국민들을 멸시하고 조롱하는 집단이다.,True,1,2025-02-27T12:39:22+0900,852489550377779359,5,0,0
cwli****,1p6c4,역시 헌재는 진보 국가전복세력의 충실한 충견임이 여실히 증명 되었다,True,1,2025-02-27T12:23:40+0900,852488538476773609,5,0,0
aswa****,2gJDo,최대행은 헌재에.흔들리지.말고 임명 거부권을.포가말라,True,1,2025-02-27T12:11:44+0900,852487769560187151,6,2,0
jell****,ExjG,와 진짜 제정신이 아닌 나라네. tf팀 중국인들 다 쫓아내!,True,1,2025-02-27T20:19:13+0900,852519175770341449,5,1,0
csnl****,5enXD,민주당이 윤석렬 대통령 탄핵 시켜서 만들려는 세상 무엇인가요? 정치적인 지향점 그게 고려연방제를 통하여 북측 흡수 통일 그런 아리 송 ㅎㅎ,True,1,2025-02-27T19:44:03+0900,852516910208647192,5,1,0
sick****,1rzIa,인민노련 마은혁 헌재 가면 인민 재판소 되는 건가요?,True,1,2025-02-27T13:12:34+0900,852491688449409213,5,1,0
kcg7****,,,False,1,2025-02-27T12:41:57+0900,852489716807762298,0,0,0
joom****,1OVnJ,"정형식·김복형·조한창 재판관은 “이 사건 청구가 적법하려면 본회의 의결이 있어야 한다”면서도 “지난 14일 국회 본회의에서 ‘마은혁 임명 촉구 결의안’을 가결했으므로 소송 요건의 흠결이 사후적으로 보정됐다”는 의견을 밝혔다. 원칙적으로는 각하해야 하나, 심판 중에라도 보완했으므로 소급 적용해서 받아들이겠다는 의미다. ---&gt; 기사에 이렇게 되어 있는데요 학생이 시험 다 쳤는데 답안지 미뤄서 썼어요하니 선생이 다시 써내라 하는 꼴 ㅠㅠ 원칙이라는 게 존재하지 않는 헌재는 없애는게 맞습니다",True,1,2025-02-27T12:18:31+0900,852488206656995517,5,1,0
higo****,,,False,1,2025-02-27T12:06:04+0900,852487404202754077,0,0,0
soji****,,,False,1,2025-02-27T13:47:07+0900,852493915222179891,0,0,0
jung****,obJZ,국무총리 탄핵은 질질 끌면서 지 밥그릇 헌법재판관은 행기는 헌법재판소를 탄핵해야된다,True,1,2025-02-27T13:31:51+0900,852492931121021281,4,0,0
gini****,9qpx6,공산주의자를 재판관으로 추천하다니. 민주당은 본색을 드러냈네. 그래도 임명 할 의무는 없으니까. 안 될꺼야.,True,1,2025-02-27T13:25:18+0900,852492508704276596,4,0,0
love****,2no2X,"헌재도 이제 미쳐가는구나...헌법을 지키고 수호해야될
헌재가 누구보다 중립적이여야하는데 편향된 모습을 보이다니
이나라가 이제는 망하는길로 들어섰구나...",True,1,2025-02-27T13:16:47+0900,852491960559075626,4,0,0
john****,3uF66,국회가 선출안하고 지금까지 버틴건 아무 잘못이 없나?,True,1,2025-02-27T13:14:50+0900,852491834377634125,4,0,0
dulo****,J74s,5인이 찬성한것으로 아는데 전원일치라는 거짖말을 해도되는지.... 그리고 선관위 대법원 헌법재판관 왜 이들은 겸임을 할수있는지...법을 이용해 내란을 일으키는 이놈들을 후세대에  부탁해도 되는지.,True,1,2025-02-27T13:14:25+0900,852491807970295982,4,0,0
sasu****,238bg,헌재가 좌파 앞잡이,True,1,2025-02-27T13:02:01+0900,852491008837943309,4,0,0
newj****,2zhf4,그럼 국회가 임명하면 되지 뭐하러 대통령이나 대행이 중간에 결정권을 가지나? 그냥 국회에서 바로 임명하길. 거부권도 없다는 거네?,True,1,2025-02-27T13:00:41+0900,852490923123147005,4,0,0
leeh****,,,False,1,2025-02-27T12:48:17+0900,852490124494110846,0,0,0
882c****,,,False,1,2025-02-27T12:43:23+0900,852489808226812043,0,0,0
kska****,,,False,1,2025-02-27T12:41:41+0900,852489699292348681,0,0,0
jjsz****,1VE0m,판사 변호사 검사 출신들은 국회진출을 못하게 법으로 재정해야지. 이것들이 중립으로 올바른 판단을 하지.,True,1,2025-02-27T12:16:28+0900,852488074905518262,4,0,0
skyw****,8Egnr,헌재 좌파들 특히 문형배 이재명 살리려고 총대맺네. 이것들 완전 무법천지구만,True,1,2025-02-27T12:04:16+0900,852487288557404284,4,0,0
babo****,,,False,1,2025-02-27T12:04:01+0900,852487272786821131,0,0,0
ckhs****,4erHK,좌파의 집요한 씨앗뿌리기의 결과.,True,1,2025-02-27T11:56:43+0900,852486802420793596,4,0,0
rudd****,1kmeI,"인민노련 핵심 이었던 자를 헌법재판관에 임명하려는게 맞아? 지금 대한민국이 간첩들의 나라가 된거야? 헌재TF는 중국인들이 대본쓰고 대통령 탄핵을 조종하고있질않나. 우리법연구회 출신들이 사법부 주요직위를 다 차지하고있질않나..,  진짜 대한민국 너무 위험한것 아닌가?",True,1,2025-02-27T17:19:04+0900,852507569560748058,6,3,0
ghdu****,2960U,헌재해산이 정답. 필요없는 조직인데 권한 막대하고 국민과 국식에 전혀 도움안됨,True,1,2025-02-27T14:13:24+0900,852495607774838982,5,2,0
