user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jink****,1uWuD,직장동료 김성훈? 직장상사 김거니? 누구지...,True,1,2025-04-07T17:59:38+0900,856128263599161645,616,29,9
ekar****,25y3Z,증거인멸 그만하고 나와라 문재인 대통령에게 하루전 방빼라고 한 4가지가 너무 뻔뻔하네,True,1,2025-04-07T18:04:32+0900,856128579262480540,489,22,8
heed****,,,False,1,2025-04-07T18:06:19+0900,856128694270296180,0,0,3
ksry****,1nGj6,"문재인 대통령 퇴거하라고 요구 했듯이 즉각 퇴거 하라! 모든것이 사필귀정 이요, 자승자박이다.",True,1,2025-04-07T18:25:42+0900,856129942360949024,186,10,2
nons****,47H0u,끄집어내기 전에 빨리 기어나와라~,True,1,2025-04-07T18:09:19+0900,856128887560601703,106,10,1
youn****,12Hgr,끝까지 더럽게 물러나는군.  구역질 난다.,True,1,2025-04-07T19:14:32+0900,856133089179467931,57,3,0
jeon****,m0fJ,"현직 대통령은 퇴임날 관저 퇴거하는데... 파면된 자는 왜 안나가고 있냐? 파면 선고 당일 퇴거로 법에 못박자. 법이 있어도 안 지키는 놈인데, 없는 법을 지키겠냐? 계속 뭉개며 관저정치 하려하겠지",True,1,2025-04-07T18:56:02+0900,856131897175048202,56,4,0
nano****,22CWU,진짜 윤식렬은 확실히 사형시겨야된다 죄질이. 아주 나쁘다.,True,1,2025-04-07T18:42:07+0900,856131000818728999,46,6,0
long****,2bL30C,"영국에 대헌장 magna  carta가 있다면, 프랑스에 인권선언이 있다면, 미국에 독립선언서가 있다면, 대한민국엔 윤석열 파면 선고결정문이 있다. 지극히 자랑스럽고 자부심 충만한 대한민국이다. 참으로 품격있고 격조높은 민주주의 선언이요, 헌법의 본질과 가치의 성경적 교과서이다. 두번 다시 헌법과 민주주의가 모욕당하는 일이 있어서는 안될 것이라 다시 한번 다짐해본다. 그리고 탱크와 총칼을 맨몸으로 막아 헌법을 지켜내고, 한겨울밤 강추위를 담요두르고  민주주의를 지켜내고, 선결제의 커피향으로 광장을 응원한 시민여러분 고맙습니다...",True,1,2025-04-07T18:44:04+0900,856131126463299622,45,7,0
tkdb****,,,False,1,2025-04-07T18:43:04+0900,856131061837463578,0,0,0
moks****,1YCQT,"참 구질구질하고 추잡하다... 한 나라의 대통령을 지낸 인간이 어쩌면 이리도 옹졸하고 추잡할수 있을까, 윤석렬찍은 인간들  젓잡고 반성해라.",True,1,2025-04-07T18:45:37+0900,856131225985745143,26,1,0
hs14****,,,False,1,2025-04-07T21:39:34+0900,856142432562053320,0,0,0
blue****,1ocKt,"얘는 왜 이렇게 추잡스러움..  잘못했으면 벌을 받아야지.. 벌받는 절차가 잘못됐다.  살인을 저질렀는데, 우리동네 경찰이 잡아야 하는데 옆동네 경찰이 잡았다 식이네..  글구 꼴보기 싫으니 빨리 나가고, 검찰은 전혀 뉘위침이 없으니 사형을 구형해야함~",True,1,2025-04-07T18:47:11+0900,856131326430937149,27,3,0
psc9****,9QCsk,"빨리 나가라 
거기에  거주할 이떤 권리도 없다
국가 기관을 아무나 점거하고 이용해도 되냐
세금이 왜 너에게 쓰여지냐",True,1,2025-04-07T18:23:18+0900,856129787641462867,21,1,0
han7****,3G9tY,"참 지지리도 못났다.끝까지 기대를 져버리지않는구나~빨 리 용산에서 떠나라,국민들 세금으로 밥먹고 잠자고 그만 방빼라 .당신이 그동안 쓴 국가세금 이제 그만 축내고 빠이빠이 하자",True,1,2025-04-07T21:43:07+0900,856142660983849001,20,0,0
jsha****,,,False,1,2025-04-07T18:55:22+0900,856131853520732267,0,0,0
b369****,,,False,1,2025-04-08T07:23:35+0900,856180057951961190,0,0,0
blin****,vBmf,아주 그냥 막장.. 끝까지 저급,True,1,2025-04-07T21:44:38+0900,856142758895681741,16,0,0
djk1****,7JN2A,신속한 재구속이 답! 구속상태에서 형사재판 받아야지 내란수괴가 어디 감히 따뜻한 아랫목에서 자?  선량한 시민을 배반한 죄값을 달게 받아야지  니가 말한 공정과 정의가 바로서지.  뿌린대로 거두고 인생 새옹지마!,True,1,2025-04-07T21:19:18+0900,856141127059767413,15,0,0
pkc3****,7p4yr,이런자가 국가를 통치했다는 것에 경악했다 국민으로서 기본 소양도 못갖춘자.,True,1,2025-04-08T05:13:15+0900,856171660603031570,13,0,0
gnti****,2byznp,끝까지 밉상짓 하는 게 탄핵 전이나 탄핵 후나 변한 게 없다..개도 잘못해서 혼내면 꼬랑지 내린다 인간이 어째...만도 못하냐 그래,True,1,2025-04-08T00:59:29+0900,856155312246227020,12,0,0
hoay****,4INjN,이자스기 뭘하나 시원하게 인정하는게없네  임마 이거는반드시 무기징역 때려야 된다,True,1,2025-04-07T21:22:26+0900,856141328453468312,12,0,0
tjsd****,,,False,1,2025-04-08T04:20:21+0900,856168252613591050,0,0,0
kiki****,6Vube,진짜 역대. 최고찌지리,True,1,2025-04-07T20:21:46+0900,856137420603654398,11,1,0
gray****,,,False,1,2025-04-07T18:03:05+0900,856128485897273381,0,0,0
hehe****,bS700,"혈세로 뭉개고 있네,,,빨리 끄집어 내 주세요~~~",True,1,2025-04-07T21:09:20+0900,856140484374954091,10,0,0
bigr****,2kqh1,언넝 방빼라 modzilla 내란수괴!,True,1,2025-04-07T21:06:59+0900,856140332893471064,10,0,0
yojo****,1vRh2,이런 치사한 자를 대통령으로 찍어준 사람들도 문제이긴 하지...  지금도 지지한다는 것들은 어서 무덤 속으로 들어가고...,True,1,2025-04-07T19:08:49+0900,856132720634364209,11,2,0
kyou****,1zwgV,"내란 잔당은 반드시 척결하자, 독일이 그러하듯이 이스라엘이 그랬듯이 끝까지 찾아서 엄벌에 처하자",True,1,2025-04-08T00:10:53+0900,856152181349286124,10,1,0
quie****,1dW29,방빼라 10석열,True,1,2025-04-07T18:10:47+0900,856128981697560857,10,1,0
sang****,2Bo2o,"이참에 윤뚱과 부역자들 싹잡아 넣어서 본보기를 보여야 한다.
사면없는 종신형.",True,1,2025-04-08T08:15:45+0900,856183417975341245,9,0,0
big9****,3tjsw,"국가에 아무런 도움도 되지 않으며,오히려 국론 분열을 선도하는 제2의 내란 수준에 달하는 행동을 스스럼없이 하고 있다.한때 대통령 이라는 감투는 깡패
 두목이었고 지금은 동네 건달 수준도 안되는 그야말로 양아치다...그렇게 행동하는게 결코 득이 되지않을것.",True,1,2025-04-08T01:33:26+0900,856157498904674356,9,0,0
pois****,2tA1I,어리숙한 겉모습은 페이크였다. 그의 맘속에는 본인은 법위에 군림한다고 생각했던 무서운 사람인듯하다. 탄핵당한 내란범임에도 국민들에게 미안함이나 반성같은건 전혀 없어보인다. 역시 사람은 겉으로만 보고 판단하면 절대 안될듯하다. 김건희도 마찬가지인듯. 참 무서운 세상이다. 대통령이라는 반지를 손에 끼우는순간 눈깔이 도는듯하다.,True,1,2025-04-08T00:39:47+0900,856154042512965772,9,0,0
leth****,1cIuj,빨리 방이나 빼... 안 쪽팔리냐 뭔 명목으로 거기 깔구 앉아있냐 에라이,True,1,2025-04-07T22:57:30+0900,856147453563371691,9,0,0
hong****,uTa8,파면 날짜 이후에 경비는 다 토해내라,True,1,2025-04-07T22:51:08+0900,856147043242999847,9,0,0
sh27****,3Cyde,가이 가이씨브러우를너므야ᆢ 욕도 아까운 윤써그러리ᆢ 사형으로 보내자,True,1,2025-04-07T22:11:43+0900,856144503826809081,9,0,1
ziio****,4ksqx,처음부터 쓰레기 끝까지 쓰레기,True,1,2025-04-08T07:43:40+0900,856181351441760392,9,1,0
skys****,3kOsm,윤가 이넘은 개작부와 함께 인간 되기는 틀린넘이다,True,1,2025-04-08T03:27:51+0900,856164870695944247,9,1,0
sred****,4QDmq,하여튼 끝까지 하는 짓거리가 윤재앙 저 세기는 절대 대통령 감은 아니야. 빨리 무상급식 받으러 빵에 가야지?,True,1,2025-04-07T23:09:16+0900,856148211188891734,8,0,0
pian****,4fhsj,마지막까지 버티다가 나가려나보네...한번도 그냥 지나가는법없이 질질끌다가 욕먹고 쫓겨나겠네,True,1,2025-04-07T22:18:29+0900,856144939648549026,8,0,0
dyna****,5tDaq,끝까지 지저분함,True,1,2025-04-07T19:03:34+0900,856132382825119920,8,0,0
king****,2bqDS,진짜 망나니도 이런 망나니기 없구만,True,1,2025-04-07T18:56:55+0900,856131954133696787,8,0,0
park****,bzhuI,어서 관저에어 나와서 큰~~~~집으로  가야지,True,1,2025-04-07T19:40:34+0900,856134766297088180,9,2,0
fbic****,18nFr,끌어내야지. 진짜 끝까지 쫄보네.,True,1,2025-04-07T20:51:51+0900,856139358640537908,8,1,0
gols****,PXYT,끝까지 역대최악,True,1,2025-04-08T08:09:31+0900,856183016463007878,7,0,0
1092****,,,False,1,2025-04-08T07:47:01+0900,856181567716851716,0,0,0
jaky****,wlQm,저럴줄 알았디. 내란수괴는 사형.,True,1,2025-04-08T07:34:10+0900,856180739073376284,7,0,0
cinj****,1wR3I,진짜 박근혜는 양반이었네.,True,1,2025-04-08T04:30:20+0900,856168895432622102,7,0,0
dksw****,1Ab4o,구질구질하네.왕짜 새길때부터 알아봤다,True,1,2025-04-08T00:00:00+0900,856151479474454529,7,0,0
mudi****,4qEgk,저거 아마 또 무당이 언제까지 버티면 운이 풀린다 어쩐다 그런 소리 믿고 있는 듯. 관저 앞에 돼지머리 놓고 오방색 떡해서 막걸리라도 부어줘라. 산 제물 놓고 푸닥거리 한판 하자,True,1,2025-04-07T23:55:32+0900,856151191829086355,7,0,0
plut****,,,False,1,2025-04-07T21:33:22+0900,856142033062985851,0,0,0
lady****,380dP,"저러니 탄핵기각햇다면 또 계엄햇을것.
정신상태가 문제있는듯. 관저정치하며 또 정치하려고 하는것이다. 무식한데 용감하다
국가운명이 좌지우지돼는데 누가 윤석렬에게 맡기겟나",True,1,2025-04-07T20:40:49+0900,856138647974445330,7,0,0
1246****,eHYGx,어쩜..이런사람대통되라고찍어줫나~~찍은2찍들석고대죄들해야겠네~~ㅋ,True,1,2025-04-07T20:33:07+0900,856138151050084401,7,0,0
piyo****,,,False,1,2025-04-07T20:08:39+0900,856136574797086928,0,0,0
lyb1****,cyBKG,"지저분하고 파렴치한 인간.
언제까지 용산에 머물며 세금 축낼것인지..뻔뻔한 검찰 출신....",True,1,2025-04-07T20:07:57+0900,856136530069029165,7,1,0
skyp****,6usBB,"굥의 아버지처럼 고무 호스 들고, 나올 때 한 대씩 때려주자! 아버지의 심정으로 ""사람 좀 되라""고ㅠㅠ 물론 안 되겠지만@@",True,1,2025-04-08T10:19:11+0900,856191370879041610,6,0,0
dlaq****,3QuZv,문재인 대통령 퇴거하라고 요구했듯이 윤석열 즉각퇴거하라,True,1,2025-04-08T08:08:59+0900,856182982036160751,6,0,0
symp****,2mGyh,끝까지 찌질하게 구느만~ 멋진 모습은 눈을 비비고 다시 봐도 하나도 보이질 않는다. 저런자가 대통령이었다니 한심하기 짝이 없다. 수준이 아주 낮고 잔꾀만 부리려 하는 구역질 나는 모습들이다. 이런자를 옹호하는 자들도 그 수준을 미루어 짐작할 수 있으리라~,True,1,2025-04-08T07:50:32+0900,856181793471070321,6,0,0
xnwo****,2cHGI,지귀연 심우정은 내란수괴 (사형또는무기징역)를 탈옥시킨 죄가 얼마나 큰지 최소 조력자로 15년은 징역을 살아야 할것이다.,True,1,2025-04-08T07:48:53+0900,856181687069966529,6,0,0
skju****,25Ap9,뉴스보는것도 짜증나  국짐당 자기반성 전혀없네  같이 침몰하면되죠  검찰  민주당 심우정 최상묵 왜 탄핵 않하나요,True,1,2025-04-08T07:09:42+0900,856179162619052141,6,0,0
yaks****,7b6F6,뉴스에서 그 놈 이름 그만 좀 보자. 스트레스 받는다.,True,1,2025-04-07T22:50:18+0900,856146989404913770,6,0,0
f51m****,1XcaL,윤석렬과 그 일당들 증거인멸중입니다 일단 구속하고 압류부터 해야 됩니다 한시가 급합니다,True,1,2025-04-07T22:30:53+0900,856145738059481369,6,0,0
knd9****,2Ahr5,"꿈같제  ㅡ    3년동안 나라 안망한기 천우신조 다  이자야 ㅡ   충직 한척   무조건 돌격 앞으로 ㅋㅋ  ㅡ 더러운 구두발 앞에있는 의자 뒷쪽에  발올릴때 알았봤다 ㅡ손바닥에 왕 자 ㅋㅋ 
고만해라  ㅡ 장 모씨는 수오지심은 있더라 난 그사람 미윘는데   한편 축은지심이 덜더라 근데 당신은 1도  동정심이 안든다  ㆍ",True,1,2025-04-07T22:01:58+0900,856143875385852228,6,0,1
p_ar****,,,False,1,2025-04-07T21:32:40+0900,856141988150378708,0,0,0
hans****,3k2KK,이자식을 관저에서 빨리 쫒아내라,True,1,2025-04-07T21:25:03+0900,856141497785909269,6,0,0
swee****,1R1Oh,질기고 질리는 윤석열 내란수괴!! 이제는 빨리 방 빼고 수사받을 준비 하거라 진짜 질리고 화가 나니까 얼른 꺼지지!!!!!!!!!!!!!,True,1,2025-04-07T19:45:27+0900,856135080601452708,6,0,0
rebe****,cZTum,증거인멸하고 스크린골프장 와인바 뜯어내느라 지연되는거 같다 정말 나갈때까지 진상이네,True,1,2025-04-07T19:38:20+0900,856134621862035577,6,0,0
y884****,1HCib,윤석열이탄핵되고나니 댓글달던 2찍들 다사라졌내.알바비받을데가없나보내.,True,1,2025-04-07T19:19:24+0900,856133402527531166,6,0,1
goll****,,,False,1,2025-04-07T19:16:00+0900,856133183266095109,0,0,0
ddol****,2ga8d,누가 주거침입및 공공시설물 불법점거로 경찰에 고발해라 천하의 몹쓸자,True,1,2025-04-07T19:12:41+0900,856132969977348327,6,0,0
ahnh****,Gg3N,"그러거나 말거나 곧 법정구속 될테니 깜빵에서 남은 생을 마감해라. 물론, 국민 혈세로 먹이고 ㆍ입히고ㆍ재우는게 부들부들ㆍ아깝다만 . . .",True,1,2025-04-07T19:09:07+0900,856132739844276257,6,0,0
bung****,2NkRg,회사동료 김건희 ㅋㅋㅋ,True,1,2025-04-07T19:00:15+0900,856132168848506967,6,0,0
myst****,57Mna,드런 인간,True,1,2025-04-07T18:34:15+0900,856130493475717204,6,0,0
rule****,2R4jv,사형받을 놈이 국민세금 축내는꼴 더이상 안된다 관저에 그냥 폭격해라!,True,1,2025-04-07T18:26:27+0900,856129990813548718,6,0,0
swd0****,ayWbQ,빨리 나가라ㆍ미적대지말고ㆍ저걸 왜 놔두냐? 안나가면 개목걸이 걸어서 질질 끌어내라ㆍ,True,1,2025-04-07T18:08:49+0900,856128855449010478,6,0,0
yopl****,2yxEI,박그네때는 파면선고 하니 바로 구속하더니 십석열이는 왜 가만 놔두냐?검찰은 증거가 차고 넘친다더니 이것도 옛 상사 봐주기하나??불소추특권도 없어졌으니 검찰은 바로 구속수사 하라~,True,1,2025-04-08T07:55:30+0900,856182113848787048,7,2,0
jine****,yjlP,완전 꼴통 국민의 힘 김문수도 그렇고.. 에휴 저런넘들만 내란당에 있으니,True,1,2025-04-08T08:21:50+0900,856183810125988069,6,1,0
inha****,2NtsA,형사 재판으로 변호사비 탈탈 털리고 무기징역 받으면 저기 TK에 있는 청송에 보내서 양지바른 독방에 쳐넣어라. 쥴리는 청주여자교도소에서 10년 썩고.,True,1,2025-04-08T07:09:16+0900,856179135137972273,6,1,0
blue****,c3cNv,윤석열 내란수괴 관저 불법점거 사용 처벌하라,True,1,2025-04-07T20:43:56+0900,856138848512508262,6,1,0
kts7****,2fwc5,"구질구질하다 사내답지도 못하고 어떠케든 시간 끌어보려고
저런자가 대통령이였다니 정말 최악이다",True,1,2025-04-07T19:43:16+0900,856134939538620497,6,1,0
lusj****,2cZGY,숙박비 받아야되는거아님? 아직도 관저에;,True,1,2025-04-08T09:55:56+0900,856189872052896132,5,0,0
unit****,1Pl9B,마누라가 아니고 회사동료? ㅋㅋ 김거니?,True,1,2025-04-08T08:32:10+0900,856184475879473208,5,0,0
parr****,f8xR,모든 법규 규칙 규범 질서 원칙 공정 상식이 아예 없는 파렴치한,True,1,2025-04-08T07:58:40+0900,856182317524189333,5,0,0
3850****,54y70,정말 치사한 인간입니다. 서울 60대 보수,True,1,2025-04-08T07:35:22+0900,856180816701554766,5,0,0
gimi****,u0Br,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ백수가 직장동료? 백수가 직장동료가 어딧냐 이제 빵돌이 해야되는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-04-08T07:07:31+0900,856179022864842839,5,0,0
hyun****,DbN,윤석열 백수인데 직장동료가 어딨음?,True,1,2025-04-08T06:58:34+0900,856178445560840280,5,0,0
song****,27Ne0,"윤석열은 문재인을 하루전에 쫓아내더니
이 넘은 왜 안나가는거야.
양심이라고는 저승에 버리고온넘같다.
재수없어.",True,1,2025-04-08T06:21:19+0900,856176045764640795,5,0,0
ns47****,2MM8P,"여기에일등공신들  안철수 ,이준석 ,정진석 ,장재원  ,2찍 대구 ,경북  ,부산 ,울산 ,경남  지금도 2찍들은 인정을하지않고있지  특히  대구시장 홍준표  경북지사  이철우  지금 경남 경북은  산불때문에  온나라가  어수선한데  수습은커녕 대선출마하려고  잿밥에만  혈안들이되어있지  그럼에도 2찍들은 좋다고 난리들이지  반성도하지않고  한심한  2찍들",True,1,2025-04-08T05:36:46+0900,856173176223170621,5,0,0
pymi****,dj7qJ,대한민국에 태어나지 말았어야 할 놈,True,1,2025-04-08T05:20:24+0900,856172121926139929,5,0,0
pupi****,2B7oJ,끝까지 진상이여,True,1,2025-04-08T01:24:31+0900,856156925291659334,5,0,0
jsl8****,3aL3G,"정말 잘 파면됐다. 이렇게 뻔뻔한 모습을 안보게 되어 너무 좋다. 결과에 승복할 줄도 모르고, 국민에게 사과할 줄도 모르고 방도 안빼고 개기고 있는 전직 대통령.. 한심하다! 그래도 박근혜 대통령은 사과문읽고 일찍 떠난 모습이 아직도 기억나는데..참 비교된다!!",True,1,2025-04-08T00:49:10+0900,856154647381934098,5,0,0
newr****,zeVr,희대의 범법자 윤석열,True,1,2025-04-08T00:20:36+0900,856152806585794685,5,0,0
clas****,2oh3m,방빼시오. 하루 방값이 얼마짜리인데…. 무상으로 눌러 앉아있지?? 세금이 남아도나??,True,1,2025-04-07T22:17:10+0900,856144854873276458,5,0,0
hunt****,1gqQh,범죄자들은 법원서류 수령안하는게 국룰 인가봄,True,1,2025-04-07T22:14:51+0900,856144705941930279,5,0,0
izan****,nZNI,관저를 안비우는데 이거 고발해야하는거 아닌가? 국고로 진기쓰고 물쓰는데? 김혜경여사 법카78천원가지고 고소고발하고 압수수색 몇백번씩 했는데 왜 안나가고 국민세금으로 저기 쳐박혀있냐고!  세금도둑으로 고발해야한다! 한달 숙박비가 몇친만원 되는데 왜 공짜로 사용하냐고!!!!!,True,1,2025-04-07T21:52:52+0900,856143289592578346,5,0,0
asqa****,ZokX,하… 저런놈이 일국의 대통령이었다니… 뭘보고 저놈을 뽑은거냐.,True,1,2025-04-07T20:54:31+0900,856139530338566351,5,0,0
kym7****,5g6pu,죽었으면 좋겠어요 어떻게 이렇게 많은 사람들을 괴롭히나?,True,1,2025-04-07T19:32:26+0900,856134242109751416,5,0,0
hjk5****,,,False,1,2025-04-07T19:02:17+0900,856132299324915812,0,0,0
daid****,2lNBJ,파렴치의 화신 윤수괴,True,1,2025-04-07T18:34:58+0900,856130539915051303,5,0,0
reds****,1iDvf,"시간당 할증으로 계산해서 비용 청구하라.
탈세를 실시간으로 하고 있는 범죄자다.",True,1,2025-04-07T18:32:00+0900,856130348956778501,5,0,0
ills****,2L1bf,"빨리 꺼져라
국비낭비하지말고 니 돈으로 술을 먹든 고기를 먹던지해라..
혈세가 아깝다",True,1,2025-04-07T18:16:07+0900,856129325194280995,5,0,0
kk65****,9Wl9D,"빨리 방 빼
더러운 내린수괴 빨리 방빼라",True,1,2025-04-07T18:15:37+0900,856129293384679615,5,0,0
sem1****,9CrP3,빨리 쫓아내라,True,1,2025-04-08T08:52:35+0900,856185791028658351,5,1,0
jjmo****,1eawL,"이런 쓰레기가 검찰총장이었으니... 그냥 깡패였다.,",True,1,2025-04-08T08:20:27+0900,856183721240297576,5,1,0
kslo****,itPy,요 베이비를 사회에서 영구격리시켜야함...쥴리와함께. 오만방자도 유분수지  어서감히...,True,1,2025-04-08T05:55:43+0900,856174396312649784,5,1,0
anse****,,,False,1,2025-04-07T20:10:09+0900,856136672323043378,0,0,0
pjh3****,AuoU,찌찔한거 속이 밴댕이 솔알딱지 보다도 작고 벼룩 간보대도 작은 소인배!! 3년 가까이 깜도 아닌기 통치 한다고 욕봤다. 이런 깜도 아닌거 모신다고 국민들은 더욱 죽어났지. 손해배상이라도 치고 싶다만은 이제 꺼져라.,True,1,2025-04-07T19:43:37+0900,856134962422743221,5,1,0
kgs5****,7ZlY7,"에이~~~최고의 나쁜 윤석열 대통.
이런 대통은 없었다.
앞으로도 없을것이다.",True,1,2025-04-09T09:44:31+0900,856281907833340099,4,0,0
sscj****,2zEEL,모지리중 꼳통 모지리,True,1,2025-04-08T08:23:12+0900,856183897954713646,4,0,0
mors****,24CMG,아직도 망상  1일 마다 기하학적인 금액 징수하고 수도 전기끊어라 세금 축내지 말고,True,1,2025-04-08T08:06:13+0900,856182804348665900,4,0,0
kche****,nd3l,관저 사용료 받아야...,True,1,2025-04-08T07:44:56+0900,856181432744149185,4,0,0
gidc****,3SnR3,어차피 윤석렬약발 다 떨어졌다.보수의 여왕으로 불리던 박근혜 보면 모르나?힘의 균형이 무너지면 바로 다른힘을 찾아서 가는 거지.윤석렬은 이제 씹던 껌신세임.,True,1,2025-04-08T07:33:25+0900,856180690939543631,4,0,0
toxw****,21Lv8,감빵으로 바로 가자,True,1,2025-04-08T07:27:46+0900,856180327209500803,4,0,0
sean****,2uUaH,형사재판에 아주 유리하게 작용 할거다. 절대로 저얼대로 특별사면 해주면 안된다.,True,1,2025-04-08T07:23:25+0900,856180046426013770,4,0,0
jht6****,10wGz,"챙피하다
방빼라~~~",True,1,2025-04-08T06:41:35+0900,856177351518584899,4,0,0
spec****,5aMLy,"사형을 선고 받으면 즉시 집행해야 
나라가 정상으로 돌아간다",True,1,2025-04-08T06:16:15+0900,856175719296794645,4,0,1
chob****,6b671,"끝나긴머가?
남긴 상처와. 경제 망가진거는?
국익은?
천벌은 받아야지",True,1,2025-04-08T04:28:43+0900,856168791833313319,4,0,0
nioi****,2cHYA,"신기하네.  탄핵되니 댓글 알바들이 사라졌네. 
다들 계몽됐나",True,1,2025-04-08T01:30:32+0900,856157311989710919,4,0,0
jkdj****,2LeZq,용산 둔덕이 살고있는 관저 주소좀 공유해주세요. 내용증명 3 번 보내고 손해배상소송 들어 가겠습니다. 법꾸라지들 때문에  저도 법전문가가 다됐습니다. 많은분들께 계몽하고 공유바랍니다.,True,1,2025-04-08T01:15:57+0900,856156372700495981,4,0,0
okoo****,3foBO,못난 놈.,True,1,2025-04-08T00:35:54+0900,856153793136427161,4,0,0
bnjp****,dyeuk,에휴 징글징글하다,True,1,2025-04-07T23:53:43+0900,856151074724118700,4,0,0
make****,JsUR,"내란재판 사형 선고 모멘트, 기대된다.",True,1,2025-04-07T23:51:20+0900,856150921162260552,4,0,0
dlal****,,,False,1,2025-04-07T23:46:16+0900,856150594845409343,0,0,0
kpk7****,LJeM,ㅋㅋㅋ 진짜 역대급 코미디다.,True,1,2025-04-07T23:03:05+0900,856147812629348380,4,0,0
4fie****,3yDf3,"혈세 낭비 말고 빵으로 직행시켜라.
그 돈은 산불 피해 복구지원금으로 돌려라.",True,1,2025-04-07T21:49:39+0900,856143082041639161,4,0,0
kth7****,,,False,1,2025-04-07T20:48:57+0900,856139171859792244,0,0,0
hisj****,,,False,1,2025-04-07T20:35:38+0900,856138313453535435,0,0,0
youa****,2yEsA,여러분들 열받지 마시고요. 몇달뒤 내란죄로 구속될거고내년쯤 내란죄로 사형 또는 무기징역 확정됩니다. 지금부터는 저 나쁜인간 파멸되는 모습 즐기시면 됩니다. 최후의 발악이니 너무 열받지들 마세요. ^^,True,1,2025-04-07T20:28:32+0900,856137855838191805,4,0,0
ryuh****,,,False,1,2025-04-07T20:28:04+0900,856137826528395287,0,0,0
kais****,1vlVh,꼭 사형시켜서 다시는 저런 더러운 종자들이 못나오게 하자,True,1,2025-04-07T20:20:56+0900,856137366195142934,4,0,0
sooc****,2c157T,검찰은 윤거니에 산더미 같이 쌓여있는 수많은 범죄를 한껀도 빠짐없이 기소하라~~,True,1,2025-04-07T19:47:42+0900,856135225841811683,4,0,0
nsgi****,aCfxO,"어찌 저런 걸 뽑았니??
어찌 저런걸...모질라모질라..너무너무 함량미달이야

.. 아이구 창피해라",True,1,2025-04-07T19:36:25+0900,856134498885042309,4,0,0
thdt****,5G0af,"윤.쓰레기 아직 지가 대통령생각하나?
벌레라고 해야",True,1,2025-04-07T19:29:39+0900,856134062459322550,4,0,0
baek****,3hX4m,관저에서 빨리 쫒아내세요,True,1,2025-04-07T19:23:09+0900,856133644018778162,4,0,0
hjde****,1CCRD,저런 작은그릇의 찌질이가 대통령 자리에 있었으니 망상 정신병이 생기지..,True,1,2025-04-07T19:19:23+0900,856133401554452611,4,0,0
crow****,,,False,1,2025-04-07T19:17:18+0900,856133266749522040,0,0,0
lism****,3nOh4,"저렇게 안나오고,어거지쓰는거 보니까 14일 재판받는것도 안갈것같은데...쥴리랑 땅굴파고 들어갈것같다.바보 하나때문에 고생했는데,저 놈 감옥에 잡아넣을때까지 잠자기는 또 틀렸다.",True,1,2025-04-07T19:16:40+0900,856133225829892308,4,0,0
69je****,VXFT,정말 추접스러운... 진짜 청량리588이나 미아리 텍사스 포주나 기둥서방 만도 못한 인간쓸애기!,True,1,2025-04-07T19:07:52+0900,856132659196199191,4,0,2
klog****,1PAxP,이렇게 한심한 인간이 지구에  또 있을까요?,True,1,2025-04-07T18:59:42+0900,856132132727161035,4,0,1
kim2****,pVI2,대한민국 국민 중 제일 쓰레기가 대통령을 했다니~ 참 어처구니 없다.,True,1,2025-04-07T18:58:45+0900,856132071892975838,4,0,0
mbos****,caRlU,"이자식은왜안꺼지는거야 이제너대통령아니야  석렬아아직도니들끼리는그렇게부르니까  
아직도 대통령인줄아냐 어서나가이자식아  
국민세금으로밥그만처먹고",True,1,2025-04-07T18:53:44+0900,856131749132894445,4,0,0
yjin****,,,False,1,2025-04-07T18:51:30+0900,856131604848836791,0,0,0
k250****,kUq4,주가조작 회사 동료 김건희!!,True,1,2025-04-07T18:23:16+0900,856129786131513440,4,0,0
chri****,,,False,1,2025-04-08T09:48:05+0900,856189367260020769,0,0,3
phs6****,HWQb,"윤   니를      찍었더만   대실망이다
   철저히   수사해서   깜빵행으로    가시나보다도   못한놈.
   승복한다   이   한마디만    해도   이놈   내란범   맞네   거니와  사형.",True,1,2025-04-07T20:42:03+0900,856138727011909660,6,3,1
goch****,2w1cy,방빼~! 학~~~~~~~~씨~!,True,1,2025-04-08T09:15:11+0900,856187247542665286,5,2,0
para****,1pivt,검찰총장까지 지냈는데 사법체계도 무시하며 반성도 승복도 하지않는 인간이 대통령이었다는 사실이 수치스런 일이 아닐수 없다. 이런 인간에겐 사형만이 미래다!,True,1,2025-04-08T08:28:41+0900,856184251685535919,5,2,1
utw2****,1ICXy,대한민국 역대 이렇게 윤두미리같이 비열하고사악한 인간이 또있었나 전두환도 너보다 비열하진않은듯,True,1,2025-04-07T20:42:51+0900,856138778752844078,5,2,0
yuns****,8K9yi,그냥 마빡에 노비 노  새겨줘라. 맨날 수령 거부하고  런치니. 역모했으면 삼족을 멸하거나 노비가 되야지. 추노나 해보자,True,1,2025-04-07T23:36:04+0900,856149937665081374,4,1,0
