user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ncoc****,3LoOL,술이 덜깨서 그래 유튜브 끊고 술깨면 이제 조오옷 된거 알게 될거야.,True,1,2025-01-15T15:57:46+0900,848513166659813732,2159,616,38
daso****,38MLR,자기가 한 짓이 뭔 짓인지도 모르는 사람이 대통령 이었다니 슬프다.,True,1,2025-01-15T15:35:32+0900,848511733919121680,1209,222,20
amic****,2KP98,대통령님 힘내시고 사형 선고 받으세요. 부인께서도 조만간 무기징역 받으실겁니다.,True,1,2025-01-15T16:07:16+0900,848513778139005069,951,183,23
poke****,5TGrH,"읽을 가치도 없고 스크롤하는 내 손가락도 아프다,",True,1,2025-01-15T16:05:34+0900,848513668181131511,813,114,26
sjju****,G3h7,철학도 없고 역사의식도 없는 동네바보가 어쩌다 대통령까지 되어서 대통령놀이에 헌법을 유린하고 총칼로 민주주의를 파괴하고 헌정질서를 문란케 한 내란 군사반란을 일으키고도 반성은 없고 평생을 무소불위의 검찰권력을 향유하며 인생을 쇼맨쉽으로 살아 온 미치광이의 넋두리가 가관이네그려...,True,1,2025-01-15T16:10:13+0900,848513968174530656,798,129,18
poud****,2rNtT,"새벽부터 밤 늦게까지 정신없이 일만 했다네.....나참....
지각 출근에 결근에 위장 출근까지 한 인간인 걸 국민들이 다 봤는데.....밤부터 그담날 새벽까지 정신 없이 술만 펐겠지...",True,1,2025-01-15T16:04:50+0900,848513620919714131,334,34,7
k591****,6o1Do,이사람은 반성의 기미가 전혀없다. 끝까지 자기 변명으로 국민(극우는 빼고)을 우롱한다. 저 편지는 아마도 자기를 지지하는 소수 극우나 국힘의원 전광훈 일당을 위한 구원의 애걸 일 것이다. 끝까지 한심한 인간.,True,1,2025-01-15T16:13:51+0900,848514202065699239,217,42,0
sexy****,1gvyK,탄핵 대통령 둘 다 명언을 남기네!! 하나는 이러려고 대통령했나!! 하나는 탄핵되니 대통령 같다!!,True,1,2025-01-15T16:21:41+0900,848514707278004548,165,20,0
k250****,kUq4,뭔 개소리야~,True,1,2025-01-15T16:05:58+0900,848513694823350697,164,22,3
lchg****,3OH1S,이런 사상을 가진놈이 대통령 시켜놨으니 나라꼴이 이모양 이꼴이지 국민의짐도 똑같은 놈들이다 탄핵 정당해산이 답이다,True,1,2025-01-15T16:08:27+0900,848513854928322768,164,29,5
adva****,,,False,1,2025-01-15T16:33:26+0900,848515464031109288,0,0,1
ever****,7oIhT,못나고 무능하고  치졸하고 비겁한 인간아...이제와서 김용현이의 잘못이라고 수하에게 잘못울 넘기냐? ...70여년을 살아오며 너같은 자는 대통령이 아니라 인간으로서도 처음 본다,True,1,2025-01-15T16:31:49+0900,848515360146588016,120,17,1
afro****,2NWxv,아 어쩌다 이런 상황으로 왔는가! 손에 새긴 '왕'자를 보고도 느낀게 없었던 우리 국민들중 반정도의 반성을 요구한다. 정신차리자 이리 되는건 한 순간이다....,True,1,2025-01-15T16:12:56+0900,848514143563547075,106,10,2
apol****,KpGh,부정투표가 가능하면 당신이.대통령으로 당선이 가능하겠소~~????,True,1,2025-01-15T17:03:33+0900,848517404148367585,102,23,4
stle****,222J9,뭐 이런 미친 토리자식이 다 있는지? 진짜 일고의 가치도 없는 민족의 반역자며 나라를 팔아먹은 매국노 내란수괴이다. 엄정하고 혹독한 심판으로 일벌백계 해야 한다.,True,1,2025-01-15T16:13:34+0900,848514184332181777,77,16,0
anju****,4vIfv,계엄 = 내란이라고 아무도 주장한적없다. 친위 쿠테타 목적으로 계엄을 했으니 내란인거다. 북한놈들이 도발에 응해줬으면 일이 잘풀렸을텐데 참 아쉽겠구나.. 부정선거 이런걸로 어찌해보려니 군이 니 맘대로 안움직였겠지.. 북한같은 또라이들도 겁먹게 만든건 인정받을거다.,True,1,2025-01-15T16:26:20+0900,848515006398988460,75,16,3
kumo****,,,False,1,2025-01-15T16:17:14+0900,848514420303724655,0,0,0
puls****,6gkDs,억지로 글읽는다고 힘들었다..이번글로 인해 확신이 든게 이 사람은 자기세상에 빠져있는게 확실하다..그리고 이런사람에게 권력을 쥐어주면 정말큰일난다는 생각밖에 안든다..우리 이런사람을 대통령이라 여기고 살았다는것이 너무너무 부끄럽고 후회스럽다..자기 자신이 뭐가 잘못된건지는 알기가 힘들것이다 독방에서 참회하면서 여생을 보내시길~~,True,1,2025-01-15T17:09:31+0900,848517788178841828,67,17,0
jwhj****,2sW57,옴마?이제사 대똥이라느겼다고?그간2년반의 세월동안  책임감도없이 뭐했니?하긴 김거니가 대똥이였으니 그럴만도 하다..,True,1,2025-01-15T16:43:22+0900,848516103863795880,60,10,0
exsk****,2WCwX,뭐라고 짖어대는건지? 어떻게 저런 판단력을 가진 사람을 대통령을 만들어 놓은건지... 수치스럽다!!,True,1,2025-01-15T16:06:48+0900,848513748460110178,55,13,0
dawn****,2aUf2,가스라이팅이라는게 진짜 이렇게 무서운건줄 이제 알게됐음.. 특히 감성적이고 못 배우고 유교사상으로 세뇌당한 멍청한 이 나라 노인네들은 누가 소리지르고 큰 소리로 말하면 그게 사실인줄 알고 빠져버림.  목소리 큰사람 치고 진실만 얘기하는거 못봤고 한나라당 새누리당 국힘 계속 이름 바꿔가면서 자신의 이익을 위해 나라도 팔아먹으려 한 전쟁일으키려한 보수 아닌 보수집단은 하루빨리 해체하고 다시는 국회에 못들어오도록 이름 박아버려야 함. 그리고  제발 자녀 생각해서라도 정신 똑바로 차려라 극우야 니들 자식들 니들 손녀손자들이 사는 나라다,True,1,2025-01-15T18:19:53+0900,848522321516822884,47,8,2
love****,oHPT,개소리라 생각해서 안읽은 사람 추천 ㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-01-15T18:33:26+0900,848523194938687685,48,11,0
okoo****,3foBO,"정신착란인지 정신분열인지 망상증이 심각하다. 내란 위험 분자를 병원에 입원시키는 건 그렇고, 교도소 내 정신병동에 입원시켜야 하나....",True,1,2025-01-15T16:39:53+0900,848515879334314388,42,7,0
huks****,1JdM3,"헛소리야 누가 계엄이 불법이래? 계엄하는 이유가 망상에서 비롯되었고 절차도 엉망이니까 조사받으라는데, 지가 안나와서 체포하려니까 체포가 불법이라니…검사일때 생각해봐라 출두안한다고하면 어케했니?",True,1,2025-01-15T17:09:23+0900,848517779840565399,36,7,6
magn****,1PSPY,부정선거 맞다 어찌 윤돼지가 0.4프로로 당선되었는지 조사해야,True,1,2025-01-15T16:09:44+0900,848513937338007853,36,8,3
koeg****,2xXmG,양심은 참으로 없구나 새벽부터 밤늦게까지 일을 했다고 시부리다니 술쳐먹고 지각하며 임기내내 거부권이나 남발하고 뻑하면 바국가세력운운하며 선동질이나하고 한쪽으로는 매국질 일삼으면 다른쪽으로는 대기업과 부자들 주머니 불려주며 서민들과 농민들 등쳐먹으며 거짓말을 아주 밥 먹듯이 하다가 결국 막판에 국회에 난립하는 난동까지 부린 내란범놈이 가식쩐다 인성이 아주 바닥을 넘어 사이코패스라는 생각이 든다,True,1,2025-01-15T18:29:14+0900,848522924657737801,34,6,0
dleo****,15zPo,읽을 가치 없어서 스크롤 내리느라 힘들었던 사람 손 들어 보세요,True,1,2025-01-15T21:22:42+0900,848534100229751052,28,2,2
supr****,4ggR2,공정과상식 정의 법치주의   본인이 검찰총장  때 조국 을  먼지털이 로  누명씌워  때려잡으며 대통령 선거때 한말이다  대통령  되고나서  단한가지 단한번 이라도 실행한일 이 있냐  본인  부인 가족 전체  가  비리 부패  부정 축재  하고  집권내내 이걸보도  지적하는 언론과 야당을  탄압 하느라 세월 보내고  이걸 덮고 영구집권하려  군사반란 내란 을  일으킨 내란수괴  윤석열  내란죄 최고 형벌로  처벌받아라  ~~,True,1,2025-01-15T16:49:27+0900,848516496165437665,28,2,0
move****,1DHy9,똥품 드럽게 잡고 자빠졌네 니가 지난 2년반동안 한일이라곤 대한민국을 망가뜨리고 국민들을 갈라치기하고 왕놀이 한것뿐이다 알겠니 그리고 앞으로 넌 내란술돼지로 기억될것이다!,True,1,2025-01-15T17:56:24+0900,848520809101131942,28,5,2
6435****,3zqjc,석열이는 법으로 처벌하는것보다  광화문에서 국민들이 뭉둥이로 처벌해야한다,True,1,2025-01-15T15:36:08+0900,848511772154396723,28,5,3
tedd****,,,False,1,2025-01-15T16:07:45+0900,848513809462067523,0,0,0
sayh****,5bOD,법위에 있는 왕인줄 알았는데 법도 지켜야되는 대통령이라는 걸 이제야 깨닳은 모양이군요.,True,1,2025-01-16T07:05:07+0900,848571621600919567,23,0,0
dols****,1gbCN,"개소리를  줄바꿈까지 해서  뭐하러 다올렸냐?  스크롤하다가 열받으라고 일부러 이런겨??
아무튼... 국민이 준 귀하디 귀한 통치의 기회를  극우유튜브나보고 무속에 빠져서  지 혼자 상상의 나래를 펴다가, 지 인생뿐 아니라  전국민의 삶을  고통속에  빠지게 하고  경제 망가뜨려,  외교 망가뜨려, 하마트면  민주주의까지 죄다 말아먹을뻔했지.  누구 탓할거없다. 감옥에서 알콜없이 맑은 정신으로  뭐가 현실인지.  무엇이 날조였는지, 누가 너를 이용해 먹은것인지 잘 생각해봐라",True,1,2025-01-15T16:55:34+0900,848516890094469381,26,4,0
bato****,sp6d,"니가 대통령당선된게 
부정선거인거 같다",True,1,2025-01-15T19:55:51+0900,848528504893997422,27,6,0
dkap****,,,False,1,2025-01-15T16:10:32+0900,848513989112496368,0,0,0
yeon****,522Ix,윤가넘은 몽둥이가 답이다. 묵비권도 야구빙망이로 맞으면 입도 열리겠지..,True,1,2025-01-15T15:36:42+0900,848511808628064552,38,18,1
pran****,2PkQY,근데 일본 GDP추월한게 지업적인냥 얘기하네.. 이미 예고된 수순이었음.. 그리고 제발부탁인데 이제 내려와좀.. 좌우그런거 안따지고 넌 불법계엄을 한게맞고 계엄법상 정한 계엄법을 안지키고 계엄을한거야 그리고 본인말 안듣는다고 국회의원 감금시킬려고했고 선관위 장악할려고도 했고 판사 구금할려고했고.. 석열아 국민의 뜻이 너의맘에 안든다고 모든게 불법이냐? 대통령이 황제야? 여소야대 정국이었음 야당이랑 협치를 할생각을 해야지 협치는 개나 줘버렸잖아? 그리고 여소야대 정국이 한두번도 아니고 이자체가 국민의 뜻인데 왜 본인맘대로 할려고하지?,True,1,2025-01-16T04:47:51+0900,848562777877381173,19,0,1
kaff****,,,False,1,2025-01-16T03:07:09+0900,848556290899705865,0,0,1
oins****,3j0l4,댓통이란자가 국민화합에 심혈을 기울이지않고 그저 임기내내 정적죽이기에만 전력투구한 결과 도리어 헌법을위반 경찰에체포되어 수사를받는 수모를당하고있다.,True,1,2025-01-15T18:04:06+0900,848521305622839338,16,0,0
skds****,3Nvwx,"알콜성 치매네  무조건 자기가  잘했다지  에휴
국민을  생각한다고  개소리 그만해라    윤거니가 혈세를  얼마나 썼는데 정신차려라  당신의 미래는  탄핵과  감옥이다",True,1,2025-01-15T16:22:49+0900,848514779973681535,17,3,0
ilba****,107Ym,선거 조작으로 국회의원 의석수를 맘대로 가져올수 있으면 그냥 대통령을하지 뭐하러 너한테 대통령을 내줬겠냐?,True,1,2025-01-16T04:36:14+0900,848562029479329800,15,2,0
prca****,2b1Ss,"너는 취임부터 현재까지 국민을 주인으로 섬기는 민주공화국의 대통령이었던 적이 단 한번도 없었고, 오히려 대통령직을 이용하여 국민 위에 군림하려 했던 왕놀이를 해왔지. 그 왕놀음에 견제와 방해를 받으니, 방해세력 제거를 위해 비상계엄으로 국가전체를 장악하려다 탄핵소추를 받는 지경에 이르렀지. 이게 니 정치행보의 진실이다.",True,1,2025-01-16T03:02:21+0900,848555982014382109,15,2,1
ikim****,2zINF,"딱 한가지만 궁금한점이??
계속 선거조작이라고 하시는데
그렇게 할꺼면 그냥 200석을 만들었지 
않을까요? 
그럼 모든 특검법이 다 통과인데 
선거를 조작했다 하더라도 
나중에 문제를 만들어 낼수도 없는데
그럼 혹시 대통령 당선자도 조작이 가능 하다는거잔아요.
이재명과 0.7%차이인데...
혹시 대통령도 조작으로 당선되서 그렇게 생각하는거 아닌지?
너무 의구심이 드네요...
그 당시 자료부터 공개 요창하고 싶네요.",True,1,2025-01-15T17:15:07+0900,848518149794955313,15,2,0
penn****,yemz,글을 보니 생각보다 더 아픈애였구나..이젠 편히 쉬렴,True,1,2025-01-15T19:42:30+0900,848527644659024041,15,3,1
ajh7****,2RO1Y,웃기고 있네. 그래서 꽃다운 채해병이 슴졌는데 임성근이만 챙겼냐! 자격없고 지은 죄 처벌이나 달게 받아라. 대역죄인은 참수형이다.,True,1,2025-01-15T19:18:58+0900,848526127864480118,14,2,0
dela****,3SBd0,"참으로 보고 들은건 많아서 글솜씨가 뛰어나십니다.
내용만보면 이런 애국자가 없네요. 
그러나 그저 말뿐인 이런글은 누가 못쓰겠습니까
다만 말과 행동이 전혀 다르다는것이 윤석렬 당신이 가지고있는 가장 큰 문제이지요.
법과 원칙은 가족에게는 제외되고 함량미달의 정부요인들은 그 앞에서 꼬리 흔들면 갑자기 훌륭한 인재로 보였던 그 어리석음이 지금의 결과를 낳은것입니다

당신이 가족에게  누구보다 엄격한 잣대를 대고 법대로 윈칙대로 행동하는 모습을 단 한번이라도 보였다면  국민들이 이렇게까지 실망하고 참담해하지는 않았을텐데..",True,1,2025-01-16T01:49:36+0900,848551294309236802,13,1,1
sasu****,2fcx6,왕인줄 알았는데 탄핵소추 당하니 왕이아닌 대통령이였구나...머 이런 뜻인가?,True,1,2025-01-15T23:22:07+0900,848541793170489386,13,1,0
6272****,1Uiyi,"당신같은 사람은 대통령이 되면 안되는 거였습니다
나는 당신을 지지하지도 않았지만 대통령으로서 할일을
다했다면 이나이에 생전처음 댓글을 다는 이런일도
 없었을거요
당신이 체포되는걸 의심한적은 없소만 그렇다고 마냥 기쁘지만은 않소! 왜 우리역사에 존경할만한 대통령이 나오지 않는지 또 노무현 대통령같은 분을 진영논리로만
왜그렇게 못잡아먹어 안달이었는지 원망스럽소
은퇴하고 내려가 계시면 찾아뵙고 싶었던분을 잃은 슬픔은 
지금도 현재진행형이오 
은퇴후에도 존경받는 대통령을 기대해보면 안되겠소",True,1,2025-01-15T21:25:56+0900,848534308183343467,12,1,0
yski****,676jy,"이놈 감방에는 보일러도 넣어주지말고 에어컨 들어서 차가운맛을 보여줘야 한다...
제 말에 동조하시는 분들은 좋아요 눌러주세요.",True,1,2025-01-15T17:44:27+0900,848520039094026467,18,8,2
jy04****,2EDYO,"계엄은 범좌가 아나더라?
체포 구금에 살해지시에 고문 
에 총까지 쏘고 북한도발해서 전쟁 일으켜서
계엄 핑게 까지 만든넘이 어떻게 범죄가 아니냐
뇌가 알콜에 쩔어 버린거냐
대란민국 역사상 최악으 인물로 기록될것이다
제발 감방가서 늙어 죽어서 나와라",True,1,2025-01-16T05:44:19+0900,848566416150888474,12,2,0
my******,2EkTb,"이런 정신병자가 대한민국 검찰. 검찰총장 .대통령이었다는게 비극이다
 이런 놈을 추종하는 국회의원들은 대한민국에서 완전히 삭제되어야 됨!",True,1,2025-01-16T05:32:44+0900,848565670168756272,12,2,0
hea9****,,,False,1,2025-01-16T01:56:20+0900,848551728470032426,0,0,1
k35h****,,,False,1,2025-01-15T16:37:57+0900,848515755182916022,0,0,0
pjwm****,3NCK6,"저 개인은 어떻게되도 상관없으시다고
적어놓으신부분만 보게됐습니다
그럼 그냥 저세상 가세요...부탁합니다
이게 무슨 낭비입니까?",True,1,2025-01-15T16:14:08+0900,848514220487082056,13,4,0
dhdu****,1ss1M,"헌재에서 내란죄를 뺀것은 그에대한 조사는 하되 다른 안건은 헌재에서 다룰수 있지만 내란죄는 형사재판으로 가야 하는 성격이기 때문에 헌재에서 다룰수 없기도 하고 기간이 1년그이상 길어질수 있기 때문에 탄핵소추안에서 뺀것입니다. 내란죄가 성립이 안되어 뺀것이 아닙니다.
이런 내용을 아는 사람은 아는데도 저사람은 저렇게 헛소리를 하고 있습니다.",True,1,2025-01-16T01:34:25+0900,848550316449202242,12,3,2
srl6****,1Frh3,귀싸대기를 한대 때리고 싶다.,True,1,2025-01-16T06:13:06+0900,848568270637236244,10,1,0
long****,sADS,"이 넘은 어지간히
언론플레이를 하네. 윤석열을 통해 알게된건 헛소리 거짓말도 어지간히 강력하게 수없이 반복해서 지껄이면 무슨 문제가 진짜 있는건가 아리송해 진다는거.  하지만 법률가 전문가 다 동원되서 낱낱이 파헤쳐주고 있기에 들떨어진 사람이
아닌이상 윤가 헛소리를 믿지않게된다.",True,1,2025-01-16T07:23:41+0900,848572817430544498,9,0,0
bsmo****,8QJQu,이런 쓰레기보다 더럽고 무가치한 윤석열을 반드시 사형시켜서 역사의 교육자료로 만들어야 한다.,True,1,2025-01-15T16:12:04+0900,848514087443759150,11,3,2
sura****,1AMMe,"간단한  방명록도 컨닝 페이퍼 의지해야 겨우 겨우 적어내는 양반의 머리에서 저런 장문이 나올리가 없다
실제 서류작업도 못할것같고 검찰에서 윤석열 대신해서 서류적성은 거의 다 한동훈이 담당했던걸로  컴퓨터 작업도 할줄 모를걸 헝클어진 머리로 꺼진 컴퓨터  노려보면서 열심히 일하던게 생각나네 ..",True,1,2025-01-16T04:58:10+0900,848563442792005647,9,1,0
nah0****,dwAyz,지금까지는 김건희가 대통령인 줄 알았는데 탄핵되고 보느 내가 대통령인 걸 실감한다 그 말인가?,True,1,2025-01-15T20:57:22+0900,848532467689193618,9,1,0
roma****,,,False,1,2025-01-15T16:34:03+0900,848515504195764266,0,0,0
gsgw****,,,False,1,2025-01-15T16:16:24+0900,848514366297866426,0,0,0
deux****,Hb49,책임감이 1도 없이 대통령을 했다는 자백,True,1,2025-01-15T21:49:45+0900,848535842694627620,8,0,0
gyk7****,54HsS,저런 모지리를 대통으로 뽑은 2찍들 자괴감 안드냐,True,1,2025-01-15T16:40:05+0900,848515892152107061,14,7,0
syst****,1Pgyf,'취임 이후 새벽부터 밤늦게까지 정신없이 일만 하다 보니' 이 문구에 동의하는 사람 있나요? 즉 거의 대부분의 내용이 이런식으로 글짓기 한겁니다. 읽을 가치도 없습니다.,True,1,2025-01-15T16:59:24+0900,848517137357078686,11,4,0
dhp0****,,,False,1,2025-01-16T06:09:51+0900,848568061224026208,0,0,0
acec****,3npy2,"에구구 
그럴줄알았으면 진즉에 탄핵해드릴걸..
우리가 잘못했네",True,1,2025-01-16T01:32:00+0900,848550160655974402,9,2,0
sura****,2Mx11,"와.:: 얼 빠진다. 대체 집 안에서 어떤 망상을 하고 계신걸끼나…선거 시스템이 어떻게 체계적으로 돌아가며, 몇 명이 좌지우지 할 수 있는 체계가 아니라는건 가장 잘 아실거 같은데…극우 유튜버들의 입에서 나온 그런 말들을…. 어이없다. 진짜… 보고싶은거, 듣고싶은거, 믿고싶은거만 믿는구니… 이러니 사이비 종교가 가능한거…",True,1,2025-01-16T08:31:21+0900,848577177560547415,8,1,0
rain****,25zAq,이런 놈을 대통령으로 뽑아준 국민들도 반성해야 된다,True,1,2025-01-15T22:48:07+0900,848539602837831725,8,1,0
ks09****,29YJ6,15~20일  정도 독방에서 술도 못먹고 삼시세끼 꼬박 먹고 지내면서  유튜브도 안보다 보면  몸과 마음이 정상적으로 돌아오면  정신이 번쩍 들꺼다... 내가 몰한거지  라고~~ㅠ,True,1,2025-01-16T06:18:10+0900,848568596618543125,7,0,0
ahk2****,2pQpz,내가 탄핵되고나니 대통령?!?! 혼자 이세계물 찍냐,True,1,2025-01-15T18:37:34+0900,848523460958224603,7,0,0
boom****,1OHr0,모지리가 신념을 가지면 무섭다는 전형적인 형태로다. ㅉㅉ,True,1,2025-01-16T05:52:30+0900,848566943559450685,7,1,0
dbfl****,a0WX1,"역대 최악!!!!!!!!!이제 대통인걸 깨달은거니? 
그래 니가 대통이야~~니 마누라가 아니고!!!",True,1,2025-01-16T04:35:33+0900,848561986160558110,7,1,0
supe****,TRLg,"비합리적 신념 으로 듣고싶은것만 듣다보니 더이상 정상과 비정상을 구분 못하는 지경이구만. 구구절절변명인데 너무 빈약하고 조잡스런 언어들.. 부끄럽다 !  한때나마 당신이 이 나라의 수장이었다는것이..  너무 부끄럽다  추태를 부리는 술주정배이 같아 일원어치의 품위를 찾아볼수 없는 저 하찷은 발악이 부끄럽다. 정의의 이름으로 단죄했던 수많은 범죄자들이 얼마나 깔깔대고 비웃을까?결국 같은 부류였음을 , 모든게 위선이었음을, 자신들과 같은 범죄자였음을 알고서 말이다.",True,1,2025-01-16T03:21:06+0900,848557189822939144,7,1,0
crom****,4xWdu,이 정도면 정신승리를 넘어 과대망상 중증으로 보이네,True,1,2025-01-15T18:37:05+0900,848523429886820386,7,1,0
siob****,,,False,1,2025-01-16T06:43:20+0900,848570218136469544,0,0,0
jun3****,3obiV,"궁색하기 짝이 없는 변명으로 잔머리만 굴리는 인간
 거짓말을 밥먹듯이 하면서 그럴싸한 구실 로 둘러대고,,
 나라를 망쳐놓고도 잘했다고 망언을 일삼고,,
 모든책임을 지겠다면서 빠져나갈 잔머리 술수만쓰는 소인배
 아는것이 없어 할일이 뭔지도 모르는 우두머리,,
 평생을 사람 잡아넣 는것만 해온 기회주의자,,,
 너로인한 억울한 사람이 얼마나 많을지 상상이간다",True,1,2025-01-16T06:22:33+0900,848568878928756789,6,0,0
oekh****,4GoCk,부정선거가 심지어 국제연대래.  개가 웃을 일이다. 어느 세상에 사는 거니? 저런 인간 대통령 만든 사람들 반성 좀 해라. 너 부정선거로 대통령 된거구나~,True,1,2025-01-16T03:33:17+0900,848557974627549204,6,0,0
nodo****,19VdK,이제야  대통령인 줄 깨닭았다니  자나깨나 대한민국 모두의 대통령이며야 할 국민의 대표가 극우에 물들어 대한민국을 두갈래로 갈라 버렸다,True,1,2025-01-16T03:18:30+0900,848557022168219695,6,0,0
mgsp****,1yJNQ,"군인들을 동원해서  내란을 주도했으니 군법으로 다스린다
 내란수괴는 사형  군법으로는 총살이다",True,1,2025-01-16T01:29:46+0900,848550016892010603,6,0,0
wjdd****,6tOXT,펜으로도 똥을 쌀 수가 있넼ㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-01-15T18:46:50+0900,848524058696876304,6,0,1
dhdu****,1ss1M,"헌재에서 내란죄를 뺀것은 그에대한 조사는 하되 다른 안건은 헌재에서 다룰수 있지만 내란죄는 형사재판으로 가야 하는 성격이기 때문에 헌재에서 다룰수 없기도 하고 형사재판을 거쳐 다시 가져오려면 기간이 1년 그이상 길어질수 있기 때문에 탄핵소추안에서만 뺀것입니다. 
내란을 빼더라도 나머지 안건만으로 충분히 탄핵 인용이 되기때문에 소추안에서 제3의 안건인 내란을 뺀것이지 내란죄가 성립이 안되어 뺀것이 아닙니다.
이런 내용을 아는 사람은 아는데도 저사람은 저렇게 헛소리를 하고 있습니다",True,1,2025-01-16T08:08:53+0900,848575729955242187,11,6,0
must****,,,False,1,2025-01-16T02:19:10+0900,848553199412445198,0,0,3
jane****,1532N,왕인줄 알았는데 왕이 아니었구나 대통령이었구나ㅆ,True,1,2025-01-15T19:30:10+0900,848526849586757691,9,4,0
ccd1****,S1mu,이놈은  정신병자가  분명합니다  망상장애를  겪고  있지않나  싶습니다  뽑은  사람들은  정말 반성하세요  투표가  장난입니까  이런  자를  뽑다니  참으로  한심합니다,True,1,2025-01-16T04:01:41+0900,848559804166176800,8,3,0
ydyo****,2bmCH,뭔 변명이 구질구질하게... 범죄자 기본 코스구나~,True,1,2025-01-15T22:52:23+0900,848539877933842576,8,3,0
jnzx****,644C5,대한민국 역대 추악하고 무능한 대통령으로 기록이 남길듯 다음 대통령 진짜 이 악물고 경제부터 살려라.,True,1,2025-01-15T21:35:14+0900,848534906777632874,8,3,0
viva****,1Axfg,"저기서 민주당 대신 윤석렬을 대입 하면 다 말이됨. 본인얘기를 민주당주어로 길게도 써놨네. 막강한 대통령 권력과 대통령 독재로 입법과 예산 봉쇄를 통해 삼법분리의 국정 운영을 철저히 틀어막고 국정 마비를 시킨다. 반국가적인 국익 포기 강요와 국정 마비, 헌정질서 붕괴를 밀어붙인다”며 “이건 바로 대한민국의 현실. 여기서 바뀐건 국회 대신 대통령으로 주어만 바꿈. 너무 현실 그대로라 자연스러움. 인간적인 인류애라도 남았을때 인정하시길",True,1,2025-01-16T08:33:12+0900,848577296007692333,7,2,0
wone****,fozy,2년몇개월동안 대한민국시스템을붕괴시킨 술주정뱅이눈먼개검넘이였지,True,1,2025-01-16T05:01:27+0900,848563654369476636,7,2,0
viol****,1ePhD,입만 열면 거짓말,True,1,2025-01-16T04:09:45+0900,848560323454566434,7,2,0
brch****,U39t,"이거 찬찬히 뜯어서 분석하면 휼륭한 대힉 전공 교재가 될 수 있을듯......    헌법학, 정치학, 재정학, 정신분석학 등등. 어찌 이런 생각을 가지고 한평생을 살았을까?  정말 미친 게 맞는 것 같다",True,1,2025-01-16T02:59:09+0900,848555775268749321,7,2,1
hien****,3zokN,이누마이거 국민들 열받게하는 능력이있어,True,1,2025-01-16T02:21:50+0900,848553370993033279,7,2,0
senb****,TLCE,어떤 S/F 미스터리 유투브를 보시길래 이 지경인지 사리분별도 안되고 공감능력도 없고 지식도 지혜도 없어 보이고 참 딱하더이다...,True,1,2025-01-15T16:50:28+0900,848516561613357230,7,2,0
hans****,3hize,정신병자가 맞네.,True,1,2025-01-19T01:43:40+0900,848829226642571359,6,1,0
w152****,3zFzl,"1. 카톡 검열건
2. 국제선 통과건
3. 간첩법 개정 반대건
4. 윤석열 체포건
국정을 문란하게하고 불법 영장을 발부해 모든 법질서 체계를 무너뜨리는 짓을 지금 누가 하고 있지? 반국가세력들아?",True,1,2025-01-16T14:43:57+0900,848601181512008099,6,1,0
7daf****,1MG7w,그 전에는 대통령이 아니라 王이라고 생각했지?,True,1,2025-01-16T08:47:52+0900,848578241202487520,6,1,0
royc****,,,False,1,2025-01-16T08:23:53+0900,848576696356438223,0,0,0
hong****,2p0AE,술퍼먹을땐 정상이고 소사받으니 건강상 이유로못받겟다? 너같은인간을 뽑아놓은 2찍들 제발 경상도로가서 독립해라 니네들끼리 잘살면되잖냐 국짐이 국개하고 오케이? 내상각어떠냐?,True,1,2025-01-16T07:04:59+0900,848571613396861069,6,1,2
kble****,38rcF,"길기는 한데 논리가 없으니 횡설수설. 자기변명과 합리화를 하기위해 헌법과 법률을 자의적으로 해석하고, 법원의 판단을 부정하는 것이 법치주의 대한민국을 무법천지 쿠데타 국으로 전락시켜 국격을 땅에 떨어지게 만든 윤석열. 국회에서 소수당인 여당이 합의처리를 주장하는게  그럴듯 해보이기는 하는데 소수당이 합의처리 안해줘 국회까지 장악하고 내 욕심을 따르지 않는 법원의 판단을 공격하여 행정부, 국회, 법원까지 장악하려 했다는 친위 쿠데타 고백이네",True,1,2025-01-16T05:25:44+0900,848565218559655985,6,1,0
poon****,buZbE,세상에나 !!!  저런 사람이  대통이였다니!!! 현명한 국민이  현명한방법으로   법의 심판대에  올려놓아 지금   세계는 대한민국 의  민주주의를  치켜세우고 있다 !!!,True,1,2025-01-16T04:32:36+0900,848561795856597030,6,1,0
alla****,4bg9x,"아직도 자신이 무엇을 잘못했는지 모르니, 반성이 없고, 반성이 없으면 죄가 더 깊다.",True,1,2025-01-15T22:57:58+0900,848540237788348742,6,1,0
cheo****,w0gf,"국회에 총든 군인들 보낸 내란범이 주권자인 국민의 권리와 책임의식이라고? 말과 행동, 생각과 현실이 동떨어진 정신병자. 그러게 검사나 하다가 은퇴하고 조용히 살면 너나 니 마누라나 감옥갈 일 없었을텐데 말이지",True,1,2025-01-15T21:50:08+0900,848535867524907072,6,1,1
seri****,3IAtd,개소리도 정성스럽게 써놨네,True,1,2025-01-15T18:24:13+0900,848522601327231058,6,1,0
kpk7****,LJeM,취임후 정신없이 술마시다보니~~~겠지. 무식아,True,1,2025-01-15T16:25:14+0900,848514935850795127,6,1,0
