user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
stro****,2YLP9,"아직 파면안됬고, 엄연한 대한민국 대통령임.",True,1,2025-01-23T20:26:56+0900,849272677586698538,1378,340,37
assj****,dhJZT,펄걸 다 트집잡네~ㅜㅜ,True,1,2025-01-23T20:31:41+0900,849272983133356274,420,41,10
dami****,5cTM2,그래도 현직 대통령인데 깔끔하게 나오게 하긴 해줘야지,True,1,2025-01-23T20:25:34+0900,849272589153992885,276,47,8
rlae****,8mIt6,"저게 뭐 어떤데?
별결가지고 걸고 넘어지노",True,1,2025-01-23T20:44:20+0900,849273798153732219,236,20,7
jhee****,7NY2E,힌글에 예우란 단어가 있다. 멍청당,True,1,2025-01-23T20:28:47+0900,849272796201615630,185,30,2
shin****,7iuqd,박은정 정신나가 여자야   구속되었어도  현직대통령이다  단정한 모습으로 재판장  가는게 무슨문제냐? 조국이는 2심까지  실형선고 받고도 교도소 안간게 더큰문제지,True,1,2025-01-23T21:06:30+0900,849275225995477187,93,9,0
bwje****,,,False,1,2025-01-23T20:58:51+0900,849274733483524395,0,0,2
gmla****,4cuYr,현직 대통령이 대국민 공개되는 헌법재판소에 출정하면서 머리 정돈한 것을 특혜라 떠드는걸 보니 좌파놈들은 애당초 대선 결과에 승복할 의지 자체가 없었다는걸 확실히 알겠다. 더듬어 내란당 반드시 해산시켜야된다. 29명 탄핵이 말이나 되는 얘기냐????,True,1,2025-01-24T00:27:54+0900,849288201393668306,64,7,4
sssh****,6BoOJ,대통령 망신이 당신의 주목적인것 같은데. 그러니 당신들을 믿지않는것 같다. 국회의원 이면 최소한으로 사오한것이 아니라 좀 이야기 꺼리가되는 문제를 제기해야 안되나?  죄는 미워도 사람은 미워하지마라는 것 정도는 안배웠나. 속마음 말고 겉으로 라도. 못배워 먹은 사람 같다,True,1,2025-01-23T20:58:06+0900,849274685299359781,54,4,0
meig****,bV5Sy,의료헬기 탄 사람도 있는대 뭐라는거냐???,True,1,2025-01-23T21:07:07+0900,849275266562785330,53,7,0
shy-****,bZgqd,좌파들의 특징! ㅋㅋ생트집,True,1,2025-01-23T20:32:07+0900,849273011453296690,45,7,0
mymy****,13wdT,아이고 아직은 대통령인데 잡범들처럼포승줄에 거지같이 나와야 하는가? 니나 잘하고 다녀랏 왜 이상한 선거제도를 야당넘들 끼리 만들어서 턱도 없는 인간들이 혈세 뜯고 먹고 ~,True,1,2025-01-23T21:01:50+0900,849274926018855185,38,3,0
yooj****,5wh3P,아직 대통령 신분에 거지꼴로 나타나야 좌파들은 신나겠지 어떻게든 나라망신 시키고 싶어서 안달난 집단들이니,True,1,2025-01-24T00:35:42+0900,849288703569297564,34,3,0
hyun****,3Ek9,"하긴... 좌파들은 허름한척 하려고 염색도 안하고, 옷도 지저분하게 입고, 면도도 안하고, 신발굽도 다 뜯어진거 안갈고, 심지어 더듬어만진당의 박모 의원은 안경테 한쪽이 부러진 안경을 쓰고나온적도 있으니, 윤통의 저런 모습이 꼴뵈기 싫긴 하겠다 ㅋㅋㅋㅋ 더듬어만진당좌파페미남페미종북친북친중진보대학생비건들은 ""너저분함""을 ""서민적""이라고 착각함",True,1,2025-01-24T00:21:27+0900,849287785671032952,27,3,0
lawy****,,,False,1,2025-01-23T20:47:29+0900,849274000906387625,0,0,0
lts0****,6j0pm,"박은정이 같은게 국개냐? 참, 개나 소나 다 하는 것이 국회의원이군. 야, 이 걸**레야, 너는 그래도 명색이 국가원수인데 산발하고 거지꼴로 나서야 속이 후련 하겠나? 너 같은게 옆에 있다면 귀싸대기가 몇 번을 올라갔겠구먼...",True,1,2025-01-23T21:12:48+0900,849275632423534860,24,2,0
najo****,3meHV,수염도 안 깎고 머리도 안 빗고 법정에 나오리? 아직 현직 대통령이고 무죄 추정이다.,True,1,2025-01-23T21:15:06+0900,849275780566351910,23,3,0
eyeo****,16auh,트집 잡은 놈이 무려 조국당 의원. 느그 조국이는 실형 선고 받고도 풀려나 정당 만들고 국회의원까지 됐다.,True,1,2025-01-24T00:22:28+0900,849287851420942444,20,2,0
yks1****,24Mc0,어찌됐든 현직 대통령이다. 너무 중요한것도 아닌걸로 트집 잡으려고 하니 오히려 반감 사는거 아니냐 남만 지적 하려고 하지 말고 내가 국민을 위해서 뭘 잘할까를 생각해라,True,1,2025-01-23T20:55:14+0900,849274500162781258,20,3,1
hak6****,6GYx,정말 박은정의 무식함이 들어나는 순간이네~~말이 필요 없다~~  오로지  좌파스럽다는 말밖에 할말이 없다~~,True,1,2025-01-23T20:38:39+0900,849273432242651341,20,6,0
kthf****,BXJB,"우리가 누리고 사는 이 좋은 세상에 누리고 있는것들
당연한것 아닙니다
우리는 자유 민주주의를 위해 목숨을 받친  그 희생을
잊지 말아 주세요
우리의 삶이 이렇게 좋은세상에  누리고 사는건 당연한거 아니에요
베트남등 많은 도움을 받고 죽한끼도 못먹는날들 그속에 전쟁에
나가야했던 어렸던 청년들 그들의 희생이 헛되지 않게
대한민국 국민이 일어나 우리의 주권을 찾아야합니다
지금 현실은 민주주의 아닙니다
부디 국민이 현실을 바라보기를 간절함뿐입니다",True,1,2025-01-24T02:49:16+0900,849297308536274971,13,0,0
podo****,J5yC,다음기사: 윤대통령 재판전 샴푸로 머리감아 특혜논란,True,1,2025-01-24T00:26:32+0900,849288113934041228,9,1,0
beat****,1RnA3,그러니까 머리 산발하고 죄수복 입고 포승줄 묶어다가 고기짝 처럼 해놔야 네 속이 풀린다 이거잖아? 재판이 목적이 아니라 망신주기가 목적이네?,True,1,2025-01-24T00:40:01+0900,849288982708617220,10,4,0
tdon****,5BLXW,비례대표  국회의원제를  폐지해야 한다.  깜도  안되는 국회의원들이  넘  많아.,True,1,2025-01-24T04:23:18+0900,849303367493615650,7,1,0
fore****,1h57V,"검사출신이라더니 돈주고 검사샀나ㅋㅋㅋㅋㅋㅋ미결수용자의 방어권 몰라요??대법원 판례도 있는데???ㅋㅋㅋㅋ일반 서민 미결수용자도 나 재판에 양복입고 깔금하게 나가고 싶어요 하면,양복만 준비하면 재판당일 양복으로 환복후 재판받을수 있다ㅋㅋㅋㅋㅋㅋㅋ법으로 보장해줘요 우리나라는요 박은정씨ㅋㅋㅋㅋㅋ미결수용자는 재판후 판결이 나기전까지는 무죄추정원칙에 의해서 구금은 있지만 죄가 없는 일반일이라 방어권이 주어집니다ㅋㅋㅋㅋㅋ검사 출신이 이것도 모르면… 쯧쯧",True,1,2025-01-23T21:24:26+0900,849276381928882304,7,1,3
shon****,2rJsC,조국당은 해체가 답임...무슨 당이 비례만 있는지...거기다 조국당이 이름인데 조국이 구속되었는데...당이름이나 바꾸던지,True,1,2025-01-24T00:24:54+0900,849288008774451415,6,1,1
khl_****,4lNX7,대통령 욕하지마라 지지율 떨어진다 무식한당아,True,1,2025-01-23T20:51:48+0900,849274278988742926,6,1,0
lugu****,5kbBk,"좌익들은 지금 어떻게든 대통령을 끌어내리고 망신주고 기를 꺾으려고 하는데 그럴수록 2030은 각성된다. 적당히들 하자~ 조기대선하면 김문수 당선, 니들 알아? 몰라?",True,1,2025-01-23T20:35:56+0900,849273257088516410,6,1,0
skh2****,,,False,1,2025-01-24T01:49:46+0900,849293475496067202,0,0,0
k138****,,,False,1,2025-01-24T03:05:26+0900,849298350703378471,0,0,1
love****,6z3l,국민이 뽑지도 않은..비례 투표 의원은 없어져야함..,True,1,2025-01-24T00:56:17+0900,849290029657227303,4,0,0
smma****,4IbWC,박은정 비례의원..쟁쟁거리는  말투가  짜증납니다..목소리부터 좀 고치세요,True,1,2025-01-24T00:33:13+0900,849288543984418878,4,0,2
kyun****,1Dkj0,예우 같은 소리하고 자빠졌네,True,1,2025-01-24T06:21:50+0900,849311003039498340,7,4,0
hell****,2Dxnn,지지율이  50% 인데...당연히  죄인이 아니지..국민이 대통령으로 인정라는데...지지율이  떨어져야  머리도 못하는데..지금  당연히 헤줘야지..지지율 50%  넘으면 틴핵도  각하야..못해...헌재가 국민 여론을 무시하고  탄핵을 할수 없어...체포 하면 지지율이 급락이 되어야 하는데..불법체포하는 바람에  더 올라간거야...,True,1,2025-01-24T00:38:48+0900,849288904291909812,4,1,0
jpar****,Tcdn,정말국민 밉상이네. 박은경. 저런 저질이 국회의원이 되는 현실이니 계엄이 정당하다,True,1,2025-01-23T21:10:51+0900,849275506309202220,4,1,0
yong****,,,False,1,2025-01-24T06:08:35+0900,849310150421381183,0,0,0
m007****,1igbF,그러니까 이유불문하고 당신들은 그냥 망신주기를원하는거잖아? 저런것들에 세금이쓰인다는게...,True,1,2025-01-24T06:01:02+0900,849309663127142405,3,0,0
sooy****,2bC6pr,"조국혁신당,$? ?  비웃음만 나온다.  그런다고 뜰줄아나   너 나 잘 하 세 요",True,1,2025-01-24T05:54:22+0900,849309234418941969,3,0,0
allj****,,,False,1,2025-01-24T05:44:37+0900,849308606263197733,0,0,0
hshs****,,,False,1,2025-01-24T05:42:49+0900,849308490282303551,0,0,0
simo****,,,False,1,2025-01-24T05:03:52+0900,849305980981215284,0,0,0
octo****,2iKCJ,"그럼,,  수감된 다른 살인마도 출장 스타일링 받을 수 있냐?? 특혜 아니라메??",True,1,2025-01-24T04:26:05+0900,849303546238074890,3,0,0
0117****,,,False,1,2025-01-24T03:47:03+0900,849301031333396485,0,0,0
kore****,,,False,1,2025-01-24T03:27:52+0900,849299795993428055,0,0,0
coba****,10ORd,으이그..별걸 다 기사라고..한심,True,1,2025-01-24T02:14:32+0900,849295071143526452,3,0,0
hjs2****,1bmKM,별걸 다 트집이다..니 할일들이나 잘해라 오지랖 떨지 말고..,True,1,2025-01-24T01:44:46+0900,849293153490960499,3,0,0
mont****,3oSOa,"2심 실형 받고도 구속 안되고 넥타이 메고 의원활동하신분도 있는데, 아직 현직 대통령이 머리 손질했다고 시비?",True,1,2025-01-24T01:09:45+0900,849290897290952846,3,0,0
naci****,4SH9v,"송영길이는  선거  운동도  하더만! ㅋㅋ
극좌파들은  우덜식  프레임 쫌 그만해!  지겨워죽겠어  그냥!",True,1,2025-01-24T00:44:43+0900,849289284530733242,3,0,0
