user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
thre****,21vIr,이래야 내란의 힘이지!!! 내란의 힘 당원 8000명정도 빠져나갔다는데도 정신못차리고 ㅋㅋ 진짜 이런 정당이 어떻게 대한민국에 존재하냐 ㅋㅋ 하긴 윤상현이 1년 지나믄 또 찍어준다고 하니 정신을 못차리겠지 ㅋ영남 주민들이 개돼지로 보이나 ㅋㅋ 일단 윤석렬 사형가고 정권 바뀌면 내란의 힘 위헌정당으로 반드시 해체하고 보수 재편하자!! 저게 뭔 보수정당이야,True,1,2024-12-17T21:10:42+0900,845842959218770192,527,59,25
1006****,1F9wF,내란의힘은 정말 답없는 정신병자들 모아놓은 당 같아요...,True,1,2024-12-17T21:45:42+0900,845845214412145007,227,12,9
youn****,2ciI6O,내란의힘 어차피 니들은 분노의 투표로 한방에 혹 해체된다,True,1,2024-12-17T21:07:23+0900,845842745930023059,95,19,5
seju****,1UDKr,"정당해체가 답이다
국민은 없고 오직 정권과 윤 수호에만 몰두해 있다",True,1,2024-12-17T22:28:21+0900,845847961345720463,64,1,1
real****,bGjMe,"북핵 방어 체계 예산 삭감…방산업계 '직격탄'
킬체인·방어체계·대량응징보복 예산 싹둑
KAI·넥스원·현대로템·풍산 등 업계 긴장
방산업계 관계자와 안보 전문가들은 공통적으로 ""킬 체인과 KAMD, KMPR은 단순히 군사적인 전력이 아니라 대한민국 안보의 중추""라며 ""예산 축소가 장기적으로 심각한 안보 공백을 초래할 것""이라고 경고했다.

지금 나라가 무방비 상태로 가고 있음.
정신들 차려야한다. 정말.",True,1,2024-12-17T21:34:40+0900,845844503142072571,59,23,12
sstn****,127lr,국힘 해체가 필요하다. 국민은 없고 자기들 이익만 있는 당.,True,1,2024-12-18T06:25:50+0900,845878723897983061,7,1,1
kbg0****,48anx,찢재명도 재판 맘대로 연기하는데 왜 하면 안됨?,True,1,2024-12-18T15:35:04+0900,845914107214299163,6,0,0
sky1****,,,False,1,2024-12-18T00:56:03+0900,845857476845764621,0,0,0
k850****,2zzxa,"“권한대행, 헌법재판관 임명권 없다” - - - - 춤이애, 박범개, 우상호 그랬쟈나!",True,1,2024-12-17T21:37:51+0900,845844708730077535,41,37,4
cabi****,3uVKl,계엄 내란을  동조하는  국민이  있다는것은  나라 망하는길이다 ㆍ,True,1,2024-12-18T05:50:38+0900,845876456088141878,6,2,1
vinu****,,,False,1,2024-12-18T01:30:20+0900,845859686086344753,0,0,0
nyjh****,,,False,1,2024-12-17T21:56:58+0900,845845939674415502,0,0,3
cscs****,,,False,1,2024-12-18T00:57:37+0900,845857577794273379,0,0,0
orga****,,,False,1,2024-12-17T21:50:44+0900,845845538313077048,0,0,0
pitc****,5Rf41,"야 우길 걸 우겨. 한덕수 총리가 최소한의 권한대행만 수행하는 거지. 헌법재판관 임기가 6년인데, 이러한 중대 결정을 총리가 할 수 있다고 생각하냐??? 윤석열 직위가 버젓이 유지되고 있기 때문에 한덕수 총리는 재판관 임명 권한이 없어. 헌법 제111조에 명시되어 있다. 억지 그만 부리고 6인 체제로 심판 가자. 그게 공정성에도 맞음.",True,1,2024-12-17T21:42:37+0900,845845015300145400,5,1,0
good****,62IJ3,이재명 방탄국회라고 비난하더니 국민의짐은 비난만 하고 모범은 안보이는 저급한 정당인가요??부끄럽습니다,True,1,2024-12-17T23:58:34+0900,845853774298742947,4,0,0
weun****,2D04l,대놓고 방탄하는  것은 민주당이 먼저 시작한 것 아닌가?  권력 욕심에 범죄자 감싸지 마라..,True,1,2024-12-17T23:49:34+0900,845853194578821270,4,0,0
tpmk****,57gml,내란범을 옹호하는걸보니 내란의힘당도 내란 공모자였던것 아닌지 조사해야 한다고 봅니다. 뭐 이런 놈들이 있나. 정말 우리나라 위험할것 같네요.,True,1,2024-12-17T23:20:33+0900,845851324607103170,4,0,0
osh1****,1QIrk,전과119범이 성남뒷골목 양알치처럼 지저분하게 자기 재판을 뭉기고 있다 추찹한 인간이다,True,1,2024-12-17T21:41:24+0900,845844936849883310,4,0,0
ljee****,10QuB,민주당이 국회를 볼모로 이재명 방탄 하는 거는 흐린 눈인데 대통령한테는 도끼눈이네? 논리도 없고 양심도 없어요.,True,1,2024-12-17T21:37:48+0900,845844705257193805,12,9,0
hope****,3mgyl,ㅋㅋㅋㅋㅋㅋㅋ 민주당과 진보언론에서 국힘한테 방탄 단어 쓰는게 양심이 있냐 ㅋㅋㅋ,True,1,2024-12-17T21:56:43+0900,845845924306485540,6,3,0
dusc****,1WzcD,절차 지연은 이재명 조국아닌가여? 재판 계속 연기하고 .. 조국은 이제 감방갔지만 이재명도 법의 심판을 받아야죠. 웃기는 기사네요 민주당이야말로 내란당입니다. 계엄지지합니다. 기자님 부정선거 꼭 취재해주시길 바랍니다,True,1,2024-12-18T10:25:42+0900,845894176301121875,5,2,1
sant****,bWOI1,"경향신문. 심각하네 북의지령 받았냐? 더나가서 윤통 수괴 머리잡아흔들겠다는 말까지 쓸 지경이네.
정신차려. 언론이 이따위로선동선전하는게임무냐?미쳤군미쳤어",True,1,2024-12-17T23:34:06+0900,845852197961859114,5,2,0
chik****,4qbvh,"응 안봐 경향신문 
니들도 신문이니?",True,1,2024-12-18T10:51:03+0900,845895810183856150,4,1,1
tndn****,19NrV,그냥  내란죄  아니라고 하고  다음 정권에서  5시  지역에 5년  내내  계엄선포해라.  계엄이  통치행위라는 2찍들 뭐라고 하나 보자,True,1,2024-12-18T08:05:48+0900,845885163698127031,4,1,0
mong****,1s3sV,국민의힘은 내란 공범 비호 정당이니 헌법재판소와 국회는 국힘 정당 해산 심판 청구를 개시하라. 이석희의 통진당은 내란음모만으로 정당이 해산되었다. 이번 내란수괴 윤석열이 내라음모 뿐 아니라 직접 실행까지 옮겼으니 당연히 국힘당은  정당 해체가 옳다.,True,1,2024-12-18T05:17:14+0900,845874303957205011,4,1,0
skl0****,,,False,1,2024-12-18T05:03:45+0900,845873435115520043,0,0,0
star****,65omb,이재명 재판지연이나  판사 기피신청이나 따져봐라 좌파신문,True,1,2024-12-17T22:46:17+0900,845849117295902837,4,1,0
gds1****,1mVQ8,자업자득이다 찢재명이  네놈이  이진숙 탄핵을 위해 헌법재판관 뽑지 못하게 해놓고 지금와서  우슨 개솔이냐,True,1,2024-12-17T22:37:22+0900,845848542323933328,4,1,0
juni****,1k6Bg,계엄 반대 투표때 참여하지 않고 똘똘 뭉쳐서 숨어있을때부터 이상했어... 그들은 왜 안갔을까? 그리고 내란을 부정하고 탄핵을 반대할까? 중진 세력은 내란동조라고 욕먹으면서도 왜 윤석열 방탄에 힘쓸까?,True,1,2024-12-17T21:58:50+0900,845846059715395888,4,1,0
kkky****,5Ttj1,진짜 미치것다.... 국힘 해체가 답이야.. 국민들 안전은 전혀 상관하지 않고 지들 밥줄에만 혈안이 되어 있으니... 한심하다. 한심해,True,1,2024-12-18T10:14:02+0900,845893424665067545,3,0,0
